"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring 's-Gravenhage"
"Nummer";;"HSB12"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"'s-Gravenhage"
;;"30";"van Hooft, J.W.H.";"2";"2"
;;"31";"Cramer, A.";"34";"34"
;;"32";"van Scheltinga, E.";"0";"0"
;;"33";"van Unen, G.";"1";"1"
;;"34";"Kuin, R.M.";"1";"1"
;;"35";"Harris, D.C.";"1";"1"
;;"36";"van der Veen, J.";"0";"0"
;;"37";"Zandvliet, S.K.D.S.";"0";"0"
;;"38";"Spanner, A.M.";"3";"3"
;;"39";"Boer, M.I.";"0";"0"
;;"40";"Ramesar, J.S.";"80";"80"
;;"41";"ten Heuw, M.A.";"0";"0"
;;"42";"van der Sluis, J.H.A.";"0";"0"
;;"43";"Schelvis, A.";"1";"1"
;;"44";"de Man, W.J.";"1";"1"
;;"45";"Hendriks-Berg, A.M.G.";"3";"3"
;;"46";"de Vries, E.";"2";"2"
;;"47";"Eikenaar, E.";"0";"0"
;;"48";"Clemens, J.M.M.";"1";"1"
;;"49";"Courbois, P.A.O.";"0";"0"
;;"50";"Leijten, R.M.";"129";"129"
"7";"Forum voor Democratie";;;"6312";"6312"
;;"1";"Baudet, T.H.P.";"4581";"4581"
;;"2";"Jansen, F.J.H.";"92";"92"
;;"3";"van Meijeren, G.F.C.";"1138";"1138"
;;"4";"van Houwelingen, P.";"168";"168"
;;"5";"Dekker, R.J.";"98";"98"
;;"6";"de Vos, L.G.";"82";"82"
;;"7";"Russcher, T.K.";"11";"11"
;;"8";"Etalle, M.J.S.";"11";"11"
;;"9";"Bakir, A.";"11";"11"
;;"10";"Dessing, J.";"4";"4"
;;"11";"Vastenhouw, J.";"7";"7"
;;"12";"Al Biyati, I.";"17";"17"
;;"13";"de Knegt, R.E.R.";"3";"3"
;;"14";"Verstegen, P.J.T.";"1";"1"
;;"15";"van Schijndel, A.H.J.W.";"1";"1"
;;"16";"Antolini, B.M.";"1";"1"
;;"17";"Bos, M.";"3";"3"
;;"18";"Koopman, P.";"1";"1"
;;"19";"van Asch, R.W.G.T.";"3";"3"
;;"20";"van den Boomgaard, M.R.";"4";"4"
;;"21";"van der Linden, I.";"7";"7"
;;"22";"van Houten, P.J.";"6";"6"
;;"23";"Oostdijk, A.R.";"2";"2"
;;"24";"Irfan, M.U.";"17";"17"
;;"25";"Redelinghuys, N.L.";"1";"1"
;;"26";"Bakker, S.A.";"1";"1"
;;"27";"de Lange, A.K.";"1";"1"
;;"28";"Hadderingh, B.S.T.";"2";"2"
;;"29";"Wittebrood, J.C.";"1";"1"
;;"30";"Bilgin, T.";"2";"2"
;;"31";"Luurssen, G.A.A.";"0";"0"
;;"32";"Minkels, J.D.";"1";"1"
;;"33";"Heller, T.H.G.";"0";"0"
;;"34";"Postuma, J.V.";"5";"5"
;;"35";"Vos, A.V.B.";"2";"2"
;;"36";"Hartman, M.";"0";"0"
;;"37";"Panis, T.";"1";"1"
;;"38";"van der Voort, J.A.";"0";"0"
;;"39";"Nijman, M.";"0";"0"
;;"40";"Wijngaard, M.M.";"1";"1"
;;"41";"van Rij, S.";"1";"1"
;;"42";"van Run, E.R.";"0";"0"
;;"43";"van de Breevaart, J.O.";"2";"2"
;;"44";"Schaap, D.V.";"0";"0"
;;"45";"de Graaff, M.J.R.L.";"0";"0"
;;"46";"Zwitser, T.";"5";"5"
;;"47";"van den Oetelaar, J.C.M.";"1";"1"
;;"48";"Kerseboom, S.";"6";"6"
;;"49";"Cliteur, P.B.";"10";"10"
"8";"Partij voor de Dieren";;;"8280";"8280"
;;"1";"Ouwehand, E.";"5376";"5376"
;;"2";"Kostić, I.";"481";"481"
;;"3";"Teunissen, C.";"767";"767"
;;"4";"Wassenberg, F.P.";"86";"86"
;;"5";"Akerboom, E.S.";"234";"234"
;;"6";"van Raan, L.";"68";"68"
;;"7";"van Schaik, M.";"141";"141"
;;"8";"Krijger, A.L.";"351";"351"
;;"9";"Plusquin, P.S.M.L.";"50";"50"
;;"10";"Groenewege, P.J.L.";"27";"27"
;;"11";"van Heuven, M.";"3";"3"
;;"12";"van Hassel, F.";"21";"21"
;;"13";"Bunnik, R.J.";"45";"45"
;;"14";"Schmeets, H.H.J.";"93";"93"
;;"15";"Pınar, K.";"56";"56"
;;"16";"Jones, M.G.";"38";"38"
;;"17";"Bosma, J.";"37";"37"
;;"18";"Barker, R.N.";"41";"41"
;;"19";"van Wijlandt, K.";"4";"4"
;;"20";"Batteau, J.M.";"4";"4"
;;"21";"Hollebeek, J.P.";"5";"5"
;;"22";"Dicke, I.M.";"17";"17"
;;"23";"Salemans, B.R.";"4";"4"
;;"24";"Bersch, F.";"2";"2"
;;"25";"de Gram, F.";"4";"4"
;;"26";"Krediet, L.";"12";"12"
;;"27";"de Vos, D.J.C.";"14";"14"
;;"28";"van der Velde, M.C.";"5";"5"
;;"29";"van Viegen, A.H.K.";"7";"7"
;;"30";"Gerritsen, L.";"81";"81"
;;"31";"Veenstra, M.";"4";"4"
;;"32";"Vlasveld, A.I.";"5";"5"
;;"33";"Janssens, T.A.O.";"8";"8"
;;"34";"Coşkun, Z.P.";"31";"31"
;;"35";"van der Pluijm, L.C.";"1";"1"
;;"36";"Peeks, S.J.";"4";"4"
;;"37";"Pallandt, C.M.J.";"6";"6"
;;"38";"Pechler, W.I.";"5";"5"
;;"39";"van Lierop, J.";"5";"5"
;;"40";"Spruit, V.";"12";"12"
;;"41";"Kuijer, B.";"2";"2"
;;"42";"Markandu, G.";"25";"25"
;;"43";"Oudshoorn, J.";"15";"15"
;;"44";"Hanoeman, R.R.";"23";"23"
;;"45";"Samshuijzen, E.";"3";"3"
;;"46";"Brouwer, M.";"1";"1"
;;"47";"Onderdelinden, S.E.";"13";"13"
;;"48";"Rozema, J.G.";"2";"2"
;;"49";"van de Peppel, S.";"12";"12"
;;"50";"Minnaert, X.D.E.";"29";"29"
"9";"ChristenUnie";;;"2902";"2902"
;;"1";"Bikker, M.H.";"1746";"1746"
;;"2";"Grinwis, P.A.";"220";"220"
;;"3";"Ceder, D.G.M.";"377";"377"
;;"4";"te Rietstap, A.H.";"15";"15"
;;"5";"Gooijer-Medema, J.K.";"115";"115"
;;"6";"Drost, N.";"11";"11"
;;"7";"Holtman, T.S.";"10";"10"
;;"8";"Otter-van den Bosch, C.";"11";"11"
;;"9";"van der Graaf, S.J.F.";"44";"44"
;;"10";"Klein, M.C.A.";"9";"9"
;;"11";"Niesink, C.C.M.";"6";"6"
;;"12";"Setz, J.N.";"9";"9"
;;"13";"van der Krift, H.J.C.";"4";"4"
;;"14";"Langen, A.L.";"7";"7"
;;"15";"Koppejan, E.J.A.";"2";"2"
;;"16";"van Wageningen, E.";"2";"2"
;;"17";"Tijhof, B.D.";"0";"0"
;;"18";"de Reus, W.T.";"8";"8"
;;"19";"Mbwete, N.A.G.";"130";"130"
;;"20";"Treurniet, M.";"16";"16"
;;"21";"Palland, A.S.";"0";"0"
;;"22";"Westerbeek, A.E.";"62";"62"
;;"23";"Muilwijk, I.";"2";"2"
;;"24";"Westerink-Petersen, J.";"4";"4"
;;"25";"Dijkstra-Verbeek, I.A.W.";"0";"0"
;;"26";"van den Berg, G.";"0";"0"
;;"27";"Broekmaat-Hagens, A.W.";"1";"1"
;;"28";"de Haan, M.E.";"2";"2"
;;"29";"Koerts, A.J.";"0";"0"
;;"30";"Roor-Wubs, A.E.";"2";"2"
;;"31";"Verweij, J.P.";"3";"3"
;;"32";"Paalman-Dijkenga, I.M.";"3";"3"
;;"33";"Kumar, A.D.J.M.";"28";"28"
;;"34";"Kerklaan-van der Beek, E.M.";"0";"0"
;;"35";"Visser, J.A.";"0";"0"
;;"36";"van der Pol, L.A.";"1";"1"
;;"37";"Oudman, A.G.";"2";"2"
;;"38";"van der Zande, J.M.";"0";"0"
;;"39";"Grandia, G.C.";"2";"2"
;;"40";"van Oordt-Jonckheere, S.";"2";"2"
;;"41";"Cornelissen, B.";"1";"1"
;;"42";"Nede, N.N.";"2";"2"
;;"43";"Schutte, J.W.";"1";"1"
;;"44";"van Dijk, G.G.";"0";"0"
;;"45";"Adema, P.";"5";"5"
;;"46";"Bosman, F.G.";"3";"3"
;;"47";"Hoogenboom, E.";"2";"2"
;;"48";"Stoorvogel, H.";"5";"5"
;;"49";"van den Berg, R.C.";"4";"4"
;;"50";"de Graaf, B.A.";"23";"23"
"10";"Volt";;;"5561";"5561"
;;"1";"Dassen, L.A.J.M.";"3212";"3212"
;;"2";"Koekkoek, M.";"986";"986"
;;"3";"Boutkan, E.";"76";"76"
;;"4";"Elfilali, I.";"388";"388"
;;"5";"Hagoort, M.B.J.";"106";"106"
;;"6";"Frijters, R.M.J.";"175";"175"
;;"7";"de Boer, R.W.";"17";"17"
;;"8";"van der Lugt, S.";"109";"109"
;;"9";"Beijnon, B.";"22";"22"
;;"10";"Twickler, R.";"72";"72"
;;"11";"Ercan, C.";"25";"25"
;;"12";"Hamel, J.E.R.";"36";"36"
;;"13";"van Ewijk, W.H.E.";"4";"4"
;;"14";"van Laar, S.A.";"179";"179"
;;"15";"Tai, M.T.";"7";"7"
;;"16";"Pajak, V.L.";"22";"22"
