"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Amsterdam"
"Nummer";;"HSB9"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Amsterdam"
;;"15";"Koppejan, E.J.A.";"5";"5"
;;"16";"van Wageningen, E.";"7";"7"
;;"17";"Tijhof, B.D.";"1";"1"
;;"18";"de Reus, W.T.";"0";"0"
;;"19";"Mbwete, N.A.G.";"50";"50"
;;"20";"Treurniet, M.";"3";"3"
;;"21";"Palland, A.S.";"0";"0"
;;"22";"Westerbeek, A.E.";"5";"5"
;;"23";"Muilwijk, I.";"1";"1"
;;"24";"Westerink-Petersen, J.";"4";"4"
;;"25";"Dijkstra-Verbeek, I.A.W.";"4";"4"
;;"26";"van den Berg, G.";"0";"0"
;;"27";"Broekmaat-Hagens, A.W.";"2";"2"
;;"28";"de Haan, M.E.";"4";"4"
;;"29";"Koerts, A.J.";"0";"0"
;;"30";"Roor-Wubs, A.E.";"3";"3"
;;"31";"Verweij, J.P.";"3";"3"
;;"32";"Paalman-Dijkenga, I.M.";"1";"1"
;;"33";"Kumar, A.D.J.M.";"6";"6"
;;"34";"Kerklaan-van der Beek, E.M.";"6";"6"
;;"35";"Visser, J.A.";"2";"2"
;;"36";"van der Pol, L.A.";"0";"0"
;;"37";"Oudman, A.G.";"4";"4"
;;"38";"van der Zande, J.M.";"1";"1"
;;"39";"Grandia, G.C.";"2";"2"
;;"40";"van Oordt-Jonckheere, S.";"13";"13"
;;"41";"Cornelissen, B.";"0";"0"
;;"42";"Nede, N.N.";"10";"10"
;;"43";"Schutte, J.W.";"0";"0"
;;"44";"van Dijk, G.G.";"1";"1"
;;"45";"Adema, P.";"4";"4"
;;"46";"Bosman, F.G.";"4";"4"
;;"47";"Hoogenboom, E.";"2";"2"
;;"48";"Stoorvogel, H.";"5";"5"
;;"49";"van den Berg, R.C.";"6";"6"
;;"50";"de Graaf, B.A.";"29";"29"
"10";"Volt";;;"16062";"16062"
;;"1";"Dassen, L.A.J.M.";"8004";"8004"
