"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Assen"
"Nummer";;"HSB3"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Assen";"Coevorden";"Emmen";"Hoogeveen";"Meppel";"Aa en Hunze";"Borger-Odoorn";"De Wolden";"Noordenveld";"Westerveld";"Tynaarlo";"Midden-Drenthe"
;;"48";"Ruijs, L.J.M.";"4";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0"
;;"49";"van der Gaag, P.J.";"2";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"51";"Hoevers, J.";"3";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"52";"van de Vijver, V.F.";"6";"0";"0";"1";"1";"0";"1";"0";"2";"1";"0";"0";"0"
;;"53";"Vemer, P.";"40";"4";"1";"0";"0";"0";"6";"2";"0";"4";"0";"21";"2"
;;"54";"Wallast, R.D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"55";"André, E.S.";"3";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"56";"Wesseling, A.";"3";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1"
;;"57";"Maessen, R.J.M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"58";"Schoonen, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"59";"Pi Van de Venne, P.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"60";"Jenneskens, M.T.P.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
;;"61";"Janssen, S.L.J.";"5";"1";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"62";"de Vries, L.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"63";"Chaban, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"64";"Louhenapessij, A.F.";"3";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0"
