"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Nijmegen"
"Nummer";;"HSB6"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Beuningen";"Buren";"Culemborg";"Druten";"Heumen";"Maasdriel";"Nijmegen";"Tiel";"Wijchen";"Zaltbommel";"West Maas en Waal";"Neder-Betuwe";"Berg en Dal";"West Betuwe"
;;"17";"Kat, H.";"55";"0";"1";"1";"0";"1";"1";"28";"10";"3";"1";"0";"1";"3";"5"
;;"18";"Warmerdam, S.";"13";"1";"3";"0";"0";"0";"0";"6";"1";"0";"0";"0";"0";"2";"0"
;;"19";"Alberg, S.T.";"32";"1";"1";"1";"3";"0";"0";"18";"3";"0";"0";"1";"1";"1";"2"
;;"20";"Hammelburg, A.R.";"13";"0";"0";"2";"0";"0";"0";"9";"0";"0";"1";"1";"0";"0";"0"
;;"21";"Hollander, J.";"38";"0";"3";"2";"2";"0";"0";"21";"0";"3";"2";"0";"0";"2";"3"
;;"22";"ten Dolle, L.";"117";"1";"2";"3";"3";"2";"4";"69";"10";"9";"2";"0";"1";"6";"5"
;;"23";"Blommers, D.";"11";"0";"1";"1";"1";"0";"0";"4";"1";"1";"0";"0";"0";"1";"1"
;;"24";"van Breugel, C.";"60";"1";"0";"3";"0";"1";"1";"46";"2";"1";"0";"2";"1";"1";"1"
;;"25";"Teunissen, J.C.M.";"10";"0";"0";"0";"0";"1";"1";"3";"1";"0";"0";"1";"0";"1";"2"
;;"26";"Çimen, M.";"27";"0";"1";"1";"0";"0";"0";"16";"6";"1";"2";"0";"0";"0";"0"
;;"27";"Oualhadj, A.";"14";"0";"0";"1";"0";"2";"0";"7";"2";"0";"2";"0";"0";"0";"0"
;;"28";"Putuhena, M.";"21";"0";"2";"12";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"4"
;;"29";"Keij, E.J.";"11";"0";"0";"1";"1";"0";"0";"3";"1";"1";"1";"2";"0";"0";"1"
;;"30";"Brink, V.J.";"24";"0";"1";"4";"0";"2";"0";"7";"0";"4";"0";"3";"0";"2";"1"
;;"31";"van Dorst, P.A.";"5";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"2"
;;"32";"Wijnja, G.H.";"3";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"33";"de Vries, M.M.";"9";"1";"1";"0";"0";"0";"0";"5";"1";"0";"0";"0";"0";"0";"1"
;;"34";"Schoonbeek, F.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"35";"Mathlouti, M.";"4";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"1";"0";"0";"0"
;;"36";"Ruttenberg, W.C.J.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0"
;;"37";"Koops, J.H.";"4";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Hagen, K.B.";"60";"0";"0";"6";"2";"1";"1";"37";"5";"0";"3";"0";"1";"1";"3"
;;"39";"Hiemstra, G.J.";"3";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0"
;;"40";"Keijmel - den Boer, J.M.I.";"16";"0";"1";"2";"0";"1";"0";"9";"0";"0";"0";"0";"0";"1";"2"
;;"41";"Tjeerdema, H.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1"
;;"42";"Woudstra, E.";"5";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3"
;;"43";"Olsthoorn, A.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"44";"van Peski, C.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"45";"van Hattum, B.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"46";"Dekker-Abdulaziz, H.";"15";"0";"0";"4";"0";"0";"1";"8";"1";"1";"0";"0";"0";"0";"0"
;;"47";"van Driel, M.";"4";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"0";"0";"0"
;;"48";"Ruijs, L.J.M.";"13";"1";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"1";"0";"0"
;;"49";"van der Gaag, P.J.";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"50";"Bosters, E.L.";"115";"6";"1";"0";"3";"6";"0";"85";"1";"9";"0";"1";"0";"3";"0"
;;"51";"Hoevers, J.";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"1"
;;"52";"van de Vijver, V.F.";"41";"1";"2";"2";"1";"0";"7";"7";"3";"1";"10";"1";"0";"0";"6"
;;"53";"Vemer, P.";"4";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1"
;;"54";"Wallast, R.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"55";"André, E.S.";"7";"0";"1";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
;;"56";"Wesseling, A.";"16";"0";"1";"5";"0";"0";"0";"6";"0";"2";"0";"1";"0";"0";"1"
;;"57";"Maessen, R.J.M.";"4";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
