"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Arnhem"
"Nummer";;"HSB7"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalten";"Apeldoorn";"Arnhem";"Barneveld";"Brummen";"Doesburg";"Doetinchem";"Duiven";"Ede";"Elburg";"Epe";"Ermelo";"Harderwijk";"Hattem";"Heerde";"Lochem";"Nijkerk";"Oldebroek";"Putten";"Renkum";"Rheden";"Rozendaal";"Scherpenzeel";"Voorst";"Wageningen";"Westervoort";"Winterswijk";"Zevenaar";"Zutphen";"Nunspeet";"Oude IJsselstreek";"Oost Gelre";"Lingewaard";"Overbetuwe";"Berkelland";"Bronckhorst";"Montferland"
;;"34";"van Strien, P.J.T.";"31";"2";"2";"4";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"2";"0";"1";"1";"1";"0";"0";"1";"0";"0";"0";"1";"0";"1";"7";"0";"0";"0";"0";"0";"0";"0";"3";"1"
;;"35";"Hartsuiker, R.J.J.";"28";"3";"6";"0";"0";"0";"0";"2";"1";"2";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"0";"1";"0";"1";"0";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0"
;;"36";"Klein Lankhorst, H.";"51";"1";"5";"4";"2";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"0";"6";"3";"0";"0";"2";"1";"0";"2";"1";"7";"3";"0";"2";"1";"1";"1";"0";"0";"3";"0";"2";"0"
;;"37";"Haverkort, E.A.";"938";"39";"36";"15";"0";"15";"19";"67";"2";"6";"0";"4";"0";"0";"0";"1";"262";"1";"0";"1";"0";"7";"0";"0";"14";"1";"0";"35";"13";"88";"3";"37";"61";"8";"3";"59";"109";"32"
;;"38";"Simons, C.";"16";"0";"2";"2";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"1";"0";"0";"0"
;;"39";"Bijenhof, Y.";"121";"3";"12";"6";"2";"2";"0";"3";"1";"0";"1";"2";"1";"2";"0";"2";"4";"2";"0";"0";"0";"4";"0";"0";"2";"2";"2";"3";"0";"6";"0";"10";"13";"3";"1";"18";"8";"6"
;;"40";"van Groningen, D.A.";"44";"0";"8";"4";"1";"0";"0";"1";"0";"3";"0";"1";"0";"0";"2";"0";"1";"3";"2";"1";"1";"1";"0";"0";"0";"2";"0";"1";"3";"2";"1";"0";"0";"1";"1";"1";"3";"0"
;;"41";"Zeeuw van der Laan, E.M.";"24";"0";"9";"2";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"2";"2";"1";"0";"0";"0"
;;"42";"Volkman, Y.";"23";"0";"1";"3";"0";"0";"0";"0";"0";"7";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"1";"1";"2";"1";"2"
;;"43";"van Kessel, P.W.";"15";"0";"3";"3";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0"
