"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Tilburg"
"Nummer";;"HSB17"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Baarle-Nassau";"Bergen op Zoom";"Breda";"Dongen";"Etten-Leur";"Geertruidenberg";"Gilze en Rijen";"Goirle";"Hilvarenbeek";"Loon op Zand";"Oisterwijk";"Oosterhout";"Rucphen";"Steenbergen";"Tilburg";"Waalwijk";"Woensdrecht";"Zundert";"Halderberge";"Roosendaal";"Moerdijk";"Drimmelen";"Alphen-Chaam";"Altena"
;;"78";"Yildirim, M.";"14";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"7";"0";"0";"0";"1";"0";"1";"0";"0";"2"
;;"79";"Mulder, H.";"39";"2";"3";"7";"1";"2";"0";"1";"1";"0";"1";"1";"5";"2";"0";"2";"0";"1";"1";"3";"2";"2";"0";"0";"2"
;;"80";"van der Weijden, M.";"342";"1";"21";"56";"8";"15";"4";"20";"11";"3";"9";"9";"17";"11";"9";"45";"26";"2";"11";"5";"21";"7";"12";"7";"12"
"2";"D66";;;"41774";"143";"2180";"10500";"1061";"1463";"605";"974";"1179";"769";"744";"1588";"2272";"301";"551";"8568";"1420";"499";"650";"827";"2156";"1005";"956";"387";"976"
;;"1";"Jetten, R.A.A.";"29431";"107";"1607";"6872";"753";"1054";"451";"742";"844";"595";"557";"1172";"1681";"232";"425";"5692";"1052";"378";"507";"624";"1624";"743";"710";"275";"734"
;;"2";"Paternotte, J.M.";"1169";"6";"85";"271";"29";"32";"15";"19";"42";"18";"21";"51";"49";"8";"15";"262";"44";"21";"12";"21";"63";"32";"18";"12";"23"
;;"3";"Vijlbrief, J.A.";"382";"2";"17";"87";"5";"15";"7";"12";"7";"2";"6";"16";"26";"6";"11";"82";"15";"6";"3";"8";"18";"9";"8";"3";"11"
;;"4";"Podt, A.";"3904";"15";"190";"1078";"109";"143";"60";"79";"102";"66";"62";"144";"205";"26";"40";"826";"123";"37";"54";"72";"176";"96";"86";"33";"82"
;;"5";"Sneller, J.C.";"86";"0";"6";"15";"8";"3";"1";"0";"0";"0";"1";"4";"5";"1";"0";"27";"2";"0";"1";"2";"2";"2";"3";"1";"2"
;;"6";"Rooderkerk, I.";"554";"0";"18";"176";"8";"24";"4";"7";"16";"6";"5";"11";"31";"0";"9";"151";"15";"4";"5";"3";"25";"8";"13";"5";"10"
;;"7";"Paulusma, W.";"300";"1";"13";"78";"14";"8";"7";"3";"13";"8";"3";"10";"13";"1";"4";"74";"11";"6";"3";"6";"7";"5";"3";"3";"6"
;;"8";"van der Werf, J.J.";"490";"2";"28";"137";"13";"10";"5";"8";"12";"5";"7";"13";"24";"1";"6";"120";"20";"6";"12";"4";"19";"12";"7";"7";"12"
;;"9";"Bamenga, P.";"288";"0";"8";"44";"6";"10";"4";"6";"12";"12";"11";"14";"19";"0";"2";"91";"15";"1";"0";"4";"13";"5";"7";"0";"4"
;;"10";"de Groot, T.C.";"153";"0";"13";"37";"1";"5";"1";"2";"6";"1";"2";"8";"13";"0";"2";"30";"3";"2";"3";"5";"6";"2";"4";"1";"6"
;;"11";"Synhaeve, M.";"514";"1";"23";"134";"18";"17";"7";"8";"17";"8";"12";"20";"15";"4";"3";"140";"17";"6";"6";"6";"21";"6";"7";"4";"14"
;;"12";"van Ginneken, L.M.";"612";"0";"22";"222";"12";"25";"6";"14";"12";"6";"7";"23";"31";"1";"2";"144";"12";"6";"8";"8";"21";"10";"9";"2";"9"
;;"13";"Belhaj, S.";"199";"0";"10";"51";"7";"6";"1";"2";"1";"0";"1";"8";"8";"1";"3";"66";"7";"1";"0";"3";"9";"2";"6";"1";"5"
;;"14";"Boulakjar, F.";"710";"0";"11";"474";"6";"21";"7";"8";"2";"0";"3";"3";"31";"4";"2";"53";"7";"2";"8";"8";"17";"5";"25";"7";"6"
;;"15";"Sahla, F.";"76";"0";"3";"21";"4";"2";"1";"4";"3";"0";"5";"1";"2";"0";"1";"17";"2";"0";"1";"3";"1";"0";"3";"0";"2"
;;"16";"Klos, F.C.O.";"25";"0";"2";"5";"0";"1";"1";"0";"0";"1";"2";"0";"1";"0";"0";"5";"2";"0";"2";"0";"2";"0";"0";"0";"1"
;;"17";"Kat, H.";"79";"0";"2";"22";"3";"2";"0";"0";"3";"0";"1";"4";"2";"0";"0";"24";"4";"1";"0";"2";"4";"2";"2";"0";"1"
;;"18";"Warmerdam, S.";"20";"0";"1";"4";"0";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"5";"0";"0";"1";"1";"1";"1";"0";"0";"2"
;;"19";"Alberg, S.T.";"56";"1";"3";"10";"2";"2";"3";"2";"1";"1";"1";"1";"1";"0";"0";"25";"0";"0";"0";"0";"1";"1";"1";"0";"0"
