"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Lelystad"
"Nummer";;"HSB5"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almere";"Zeewolde";"Noordoostpolder";"Urk";"Dronten";"Lelystad"
;;"47";"Becker, J.R.C.";"2";"1";"1";"0";"0";"0";"0"
;;"48";"Leeuwenkamp, B.L.";"13";"7";"1";"4";"0";"1";"0"
;;"49";"Brinkman, V.A.";"9";"7";"0";"1";"0";"0";"1"
;;"50";"van der Vegte, F.G.";"67";"39";"5";"4";"0";"2";"17"
"4";"PVV (Partij voor de Vrijheid)";;;"60434";"27773";"3640";"6892";"3281";"6703";"12145"
;;"1";"Wilders, G.";"54062";"24697";"3266";"6252";"2974";"5950";"10923"
;;"2";"Agema, M.";"3673";"1738";"227";"375";"118";"466";"749"
;;"3";"van Meetelen, R.F.";"144";"66";"5";"12";"0";"21";"40"
;;"4";"Markuszower, G.";"79";"52";"2";"5";"5";"3";"12"
;;"5";"Bosma, M.";"1387";"604";"85";"142";"167";"141";"248"
;;"6";"Claassen, R.A.B.";"30";"8";"0";"2";"2";"2";"16"
;;"7";"Faber, M.H.M.";"130";"53";"17";"9";"3";"19";"29"
;;"8";"Mulder, E.";"63";"6";"3";"21";"1";"26";"6"
;;"9";"Maeijer, V.";"56";"28";"4";"6";"1";"10";"7"
;;"10";"van Dijck, A.P.C.";"14";"10";"0";"0";"0";"1";"3"
;;"11";"Kops, A.";"13";"6";"2";"2";"0";"0";"3"
;;"12";"Madlener, B.";"6";"5";"0";"1";"0";"0";"0"
;;"13";"de Jong, L.W.E.";"33";"20";"1";"1";"1";"3";"7"
;;"14";"Graus, D.J.G.";"24";"14";"0";"0";"0";"5";"5"
;;"15";"Blaauw, R.B.";"5";"3";"0";"0";"0";"0";"2"
;;"16";"de Roon, R.";"4";"2";"0";"1";"0";"1";"0"
;;"17";"van Dijk, E.";"14";"7";"0";"0";"0";"1";"6"
;;"18";"de Vree, J.H.";"5";"3";"0";"0";"0";"0";"2"
;;"19";"Aardema, M.";"15";"3";"0";"3";"0";"2";"7"
;;"20";"van der Velde, M.K.";"54";"28";"4";"12";"1";"2";"7"
;;"21";"van der Hoeff, P.H.";"3";"1";"0";"1";"0";"1";"0"
;;"22";"Deen, M.";"11";"6";"1";"1";"0";"1";"2"
;;"23";"Nijhof-Leeuw, J.M.";"34";"19";"1";"5";"1";"0";"8"
;;"24";"Boon, M.C.H.";"5";"2";"0";"1";"1";"0";"1"
;;"25";"Mooiman, J.";"18";"11";"0";"0";"1";"3";"3"
;;"26";"Ram, D.";"8";"4";"1";"1";"0";"1";"1"
;;"27";"Vlottes, E.";"6";"2";"1";"2";"0";"0";"1"
;;"28";"Smitskam, P.";"3";"0";"0";"2";"0";"1";"0"
;;"29";"Esser, E.R.F.";"4";"2";"1";"0";"0";"0";"1"
;;"30";"Boutkan, W.";"205";"171";"3";"5";"1";"12";"13"
