"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Leiden"
"Nummer";;"HSB15"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alphen aan den Rijn";"Capelle aan den IJssel";"Gouda";"Hillegom";"Katwijk";"Krimpen aan den IJssel";"Leiden";"Leiderdorp";"Lisse";"Nieuwkoop";"Noordwijk";"Oegstgeest";"Voorschoten";"Waddinxveen";"Wassenaar";"Zoetermeer";"Zoeterwoude";"Teylingen";"Lansingerland";"Kaag en Braassem";"Zuidplas";"Bodegraven-Reeuwijk";"Leidschendam-Voorburg";"Pijnacker-Nootdorp";"Krimpenerwaard"
;;"9";"Beijnon, B.";"47";"2";"0";"2";"0";"0";"0";"17";"2";"1";"1";"1";"2";"3";"2";"1";"1";"0";"0";"4";"0";"0";"0";"4";"3";"1"
;;"10";"Twickler, R.";"129";"9";"1";"8";"2";"2";"0";"46";"1";"0";"2";"1";"7";"3";"1";"1";"12";"1";"5";"1";"1";"0";"2";"9";"12";"2"
;;"11";"Ercan, C.";"24";"5";"0";"1";"1";"1";"1";"5";"0";"0";"0";"1";"1";"0";"0";"1";"1";"0";"0";"0";"1";"0";"1";"1";"1";"2"
;;"12";"Hamel, J.E.R.";"82";"5";"5";"5";"1";"0";"0";"24";"3";"3";"2";"2";"6";"3";"4";"1";"7";"0";"0";"1";"1";"2";"2";"3";"1";"1"
;;"13";"van Ewijk, W.H.E.";"6";"0";"1";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0"
;;"14";"van Laar, S.A.";"178";"3";"5";"7";"1";"2";"2";"65";"9";"0";"1";"3";"5";"7";"1";"6";"11";"3";"4";"5";"0";"0";"1";"25";"11";"1"
;;"15";"Tai, M.T.";"26";"1";"3";"3";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"3";"0";"1";"4";"0";"3";"0";"1";"3";"2"
;;"16";"Pajak, V.L.";"48";"3";"0";"7";"0";"0";"0";"19";"0";"0";"1";"1";"2";"2";"0";"3";"1";"0";"0";"2";"1";"0";"0";"3";"3";"0"
;;"17";"Eigenhuis, F.";"21";"1";"0";"4";"0";"1";"0";"7";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0";"1";"0";"1";"1";"0";"1"
;;"18";"Verbeek, E.L.I.";"40";"4";"2";"3";"0";"1";"0";"8";"0";"3";"1";"1";"1";"0";"0";"0";"3";"0";"4";"2";"2";"1";"2";"2";"0";"0"
;;"19";"Hemmes, B.J.A.";"23";"0";"0";"0";"0";"0";"0";"10";"0";"0";"1";"1";"0";"0";"0";"1";"4";"0";"2";"3";"0";"1";"0";"0";"0";"0"
;;"20";"Elsinga, D.";"125";"10";"4";"6";"2";"4";"2";"19";"4";"0";"4";"3";"3";"3";"1";"1";"10";"0";"2";"8";"0";"3";"2";"9";"24";"1"
;;"21";"Dreteler, S.J.";"54";"6";"2";"4";"1";"0";"2";"10";"4";"0";"1";"2";"0";"4";"0";"2";"1";"0";"2";"0";"1";"2";"1";"5";"3";"1"
"11";"JA21";;;"6698";"630";"426";"329";"152";"345";"192";"408";"130";"144";"218";"273";"89";"116";"157";"103";"568";"56";"242";"432";"179";"340";"195";"292";"324";"358"
;;"1";"Eerdmans, B.J.";"5224";"467";"362";"251";"112";"285";"149";"312";"90";"114";"161";"213";"63";"94";"126";"87";"432";"37";"201";"316";"145";"282";"156";"215";"255";"299"
;;"2";"Nanninga, A.";"906";"108";"30";"51";"28";"40";"21";"67";"28";"24";"33";"42";"15";"16";"14";"11";"87";"10";"24";"60";"22";"34";"25";"49";"44";"23"
;;"3";"Ceulemans, S.";"59";"5";"4";"5";"1";"4";"3";"1";"1";"3";"4";"2";"1";"0";"0";"0";"6";"1";"3";"4";"1";"5";"0";"1";"1";"3"
;;"4";"Bakker-Derks, E.H.M.";"61";"9";"2";"3";"4";"4";"1";"8";"0";"0";"3";"2";"0";"0";"1";"0";"5";"1";"2";"3";"3";"1";"0";"7";"1";"1"
;;"5";"van Doorn, D.M.A.";"75";"9";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"0";"1";"4";"0";"13";"2";"0";"34";"0";"2";"0";"1";"5";"0"
;;"6";"Goudzwaard, M.";"19";"4";"0";"1";"0";"0";"0";"2";"1";"1";"1";"0";"0";"0";"0";"1";"2";"1";"1";"0";"0";"1";"0";"0";"2";"1"
;;"7";"Schyns, P.F.M.";"19";"1";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"3";"2";"0";"0";"3";"1";"0";"1";"1";"0";"1";"1";"1";"0"
;;"8";"Uiterwijk, K.";"46";"4";"3";"3";"1";"2";"1";"2";"4";"1";"5";"1";"1";"0";"1";"1";"3";"1";"2";"0";"0";"2";"1";"1";"1";"5"
;;"9";"Dijksterhuis, R.G.";"7";"0";"0";"1";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"10";"van den Berg, D.J.";"19";"2";"0";"1";"1";"0";"0";"1";"1";"1";"1";"0";"0";"0";"2";"0";"2";"0";"0";"2";"1";"0";"0";"2";"1";"1"
;;"11";"Omlo, H.";"12";"0";"1";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"2";"1";"1";"0"
;;"12";"Hesselink, S.W.J.";"7";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"1";"0"
;;"13";"Nuijten, K.";"3";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Roos, S.M.";"16";"2";"3";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"1";"2";"0";"2"
;;"15";"Soltani, M.";"36";"4";"2";"3";"1";"0";"2";"0";"0";"0";"2";"1";"2";"1";"3";"0";"2";"0";"0";"0";"1";"5";"1";"1";"2";"3"
;;"16";"Baten, L.C.C.";"8";"0";"1";"1";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"3"
;;"17";"Kövi, J.J.H.M.";"2";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Wilson, L.";"7";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0"
;;"19";"van Vugt, T.";"5";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"20";"Wanders, A.M.J.M.";"29";"3";"3";"1";"0";"0";"4";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"7";"1";"1";"3";"0";"0";"3"
;;"21";"Lodders, I.A.G.";"6";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"1";"0"
;;"22";"Vos, L.L.";"16";"1";"0";"2";"0";"2";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"6";"0";"1"
;;"23";"Kauffmann, F.W.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Hogendoorn, G.A.M.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
;;"26";"Gordijn, C.";"20";"2";"1";"0";"1";"1";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"3";"0";"2";"1";"1";"0";"3";"0";"1";"1"
;;"27";"Bloemenkamp, J.H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Waitz, J.W.A.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"29";"Veenvliet, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Koetje, J.M.";"7";"0";"0";"0";"2";"1";"0";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Buijs, M.";"5";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0"
;;"32";"Buijt, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"34";"de Groot, G.P.J.";"5";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"35";"Hieralal, K.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"3";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"37";"Pastors, M.G.T.";"8";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0"
;;"38";"Fortuijn, S.A.F.";"56";"4";"9";"2";"1";"0";"7";"1";"1";"0";"1";"1";"0";"1";"1";"0";"5";"2";"1";"2";"0";"3";"1";"0";"2";"11"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"23628";"1772";"1722";"1925";"67";"3604";"2479";"190";"114";"616";"308";"91";"68";"46";"1657";"48";"699";"32";"66";"403";"62";"1847";"1870";"123";"266";"3553"
;;"1";"Stoffer, C.";"20006";"1456";"1562";"1673";"50";"2540";"2226";"141";"76";"547";"277";"75";"50";"41";"1404";"41";"586";"30";"54";"346";"39";"1658";"1663";"98";"232";"3141"
;;"2";"van Dijk, D.J.H.";"1175";"223";"66";"98";"1";"87";"49";"5";"2";"28";"12";"3";"2";"1";"171";"2";"70";"2";"5";"18";"5";"96";"74";"14";"10";"131"
;;"3";"Flach, A.J.";"276";"22";"26";"24";"0";"10";"47";"2";"0";"0";"1";"1";"1";"0";"13";"0";"5";"0";"2";"3";"0";"21";"18";"1";"5";"74"
;;"4";"Middelkoop, P.N.";"322";"21";"11";"31";"0";"106";"18";"10";"1";"13";"6";"2";"4";"1";"10";"3";"11";"0";"1";"5";"1";"13";"27";"0";"2";"25"
;;"5";"Vroegindeweij, W.J.";"784";"6";"5";"6";"1";"668";"11";"10";"2";"8";"1";"8";"4";"2";"6";"0";"5";"0";"1";"1";"2";"7";"11";"5";"2";"12"
;;"6";"van der Maas, A.J.";"38";"0";"1";"6";"0";"11";"4";"0";"0";"2";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"5";"3";"0";"0";"3"
;;"7";"van der Wind, H.J.";"73";"4";"0";"2";"3";"3";"0";"2";"0";"0";"4";"1";"1";"0";"0";"0";"1";"0";"0";"0";"5";"5";"15";"1";"0";"26"
;;"8";"Both, D.D.";"37";"2";"1";"11";"0";"0";"2";"0";"0";"3";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"4";"2";"0";"0";"6"
;;"9";"Kloosterman, J.";"13";"1";"1";"4";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"10";"van Heijst, R.C.";"108";"6";"14";"6";"2";"2";"7";"1";"0";"1";"1";"0";"0";"0";"6";"1";"5";"0";"0";"25";"2";"11";"4";"0";"9";"5"
;;"11";"van der Wulp, A.D.";"22";"1";"2";"1";"0";"1";"6";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"6"
;;"12";"Polinder, H.J.";"12";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"3";"1";"3";"0";"0";"1"
;;"13";"Slingerland, M.";"15";"0";"3";"2";"0";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
;;"14";"van Duijn, W.J.";"200";"6";"0";"4";"2";"153";"2";"2";"1";"3";"0";"1";"3";"0";"6";"1";"2";"0";"1";"0";"2";"4";"4";"1";"1";"1"
;;"15";"Barth, L.G.I.";"192";"2";"8";"5";"0";"2";"71";"0";"0";"1";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"4";"7";"0";"0";"88"
;;"16";"Lukasse, J.";"10";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"3"
;;"17";"Tanis, J.P.";"9";"1";"1";"2";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"1";"0";"0";"1"
;;"18";"Bosma, E.G.";"19";"0";"2";"3";"6";"2";"2";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"19";"Schipaanboord, G.P.";"94";"11";"2";"7";"1";"3";"4";"8";"32";"2";"2";"0";"2";"0";"4";"0";"3";"0";"1";"0";"3";"5";"1";"0";"2";"1"
;;"20";"Veldman, J.D.";"12";"0";"0";"7";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"1";"0";"1";"0"
;;"21";"Hartog, J.";"8";"0";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"1";"0";"1"
;;"22";"Koekoek, J.T.";"25";"1";"2";"4";"0";"6";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"3"
;;"23";"de Knegt, L.";"6";"0";"0";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"24";"van Leeuwen, G.R.";"9";"0";"0";"1";"0";"0";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0"
;;"25";"Bakker, T.";"12";"0";"2";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"3"
;;"26";"Kok, W.H.";"7";"0";"1";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"27";"van Westreenen, S.";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Noordergraaf, P.T.";"6";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"2"
;;"29";"Boersma, A.";"5";"0";"1";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Talen, L.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4"
;;"31";"van de Waerdt, C.J.";"8";"1";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1"
;;"32";"Bulten, H.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"33";"Versteeg, A.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"34";"Kisteman, L.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van Bruchem, L.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"36";"van den Dikkenberg, L.C.";"7";"0";"0";"3";"0";"0";"1";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"37";"Herweijer, H.";"5";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2"
;;"38";"van Laar, G.J.";"5";"1";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Scheppink, A.J.";"3";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0"
;;"40";"van Heteren, R.";"9";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1"
;;"41";"van den Belt, B.";"6";"0";"0";"2";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"42";"van Iwaarden, D.";"12";"2";"0";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van Tuijl, L.O.";"8";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"44";"Proos, A.J.";"57";"0";"7";"6";"0";"1";"7";"0";"0";"1";"0";"0";"1";"0";"3";"0";"3";"0";"0";"0";"0";"4";"22";"0";"0";"2"
"13";"DENK";;;"13625";"1568";"918";"1502";"123";"328";"230";"2157";"367";"67";"103";"192";"130";"180";"420";"109";"1895";"58";"183";"685";"105";"370";"313";"793";"500";"329"
;;"1";"van Baarle, S.R.T.";"9678";"1067";"671";"1111";"93";"236";"178";"1416";"268";"46";"64";"145";"97";"139";"304";"85";"1323";"33";"125";"488";"79";"276";"252";"580";"355";"247"
;;"2";"Ergin, D.A.";"491";"89";"41";"35";"7";"15";"8";"83";"10";"1";"2";"0";"5";"4";"23";"1";"59";"9";"4";"24";"3";"9";"5";"25";"20";"9"
;;"3";"El Abassi, I.";"1170";"157";"38";"180";"7";"18";"8";"282";"24";"4";"22";"15";"8";"12";"31";"3";"107";"3";"17";"53";"7";"28";"34";"49";"21";"42"
;;"4";"Alrubey, A.";"590";"65";"36";"35";"7";"23";"6";"81";"13";"4";"9";"7";"9";"3";"20";"7";"135";"6";"11";"24";"6";"21";"8";"28";"18";"8"
;;"5";"Gün, E.";"142";"23";"16";"11";"0";"6";"1";"25";"6";"2";"0";"1";"1";"2";"5";"0";"11";"0";"1";"9";"3";"3";"1";"9";"6";"0"
;;"6";"Usta, Y.";"41";"8";"0";"3";"0";"1";"2";"7";"2";"0";"0";"1";"0";"1";"2";"1";"4";"0";"0";"2";"0";"1";"1";"4";"0";"1"
;;"7";"Rijssel, N.E.";"94";"5";"12";"7";"1";"1";"0";"18";"0";"1";"0";"3";"0";"0";"1";"0";"10";"0";"3";"5";"1";"6";"2";"12";"5";"1"
;;"8";"Maroof, A.";"144";"15";"14";"13";"0";"1";"7";"19";"9";"0";"1";"7";"0";"2";"4";"3";"17";"0";"2";"12";"2";"2";"0";"7";"5";"2"
;;"9";"Mac Intosch, G.J.";"41";"5";"13";"3";"0";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"5";"0";"0";"0";"1";"1";"0";"5";"3";"1"
;;"10";"Safranti, M.";"31";"1";"3";"6";"0";"0";"1";"5";"3";"0";"1";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"3";"3";"1"
;;"11";"Bayrakci, Y.C.";"24";"1";"1";"0";"0";"0";"0";"13";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"2";"0";"1";"0";"0";"1";"0";"1"
;;"12";"Ghazi, M.I.";"85";"8";"2";"6";"4";"0";"1";"20";"3";"2";"1";"3";"0";"2";"1";"3";"16";"1";"1";"4";"0";"2";"0";"3";"2";"0"
;;"13";"Özçelik, S.";"51";"5";"2";"4";"0";"1";"2";"18";"3";"0";"0";"2";"0";"0";"0";"0";"4";"0";"3";"3";"0";"2";"1";"0";"1";"0"
;;"14";"Kaya, A.";"34";"8";"1";"0";"0";"4";"2";"4";"0";"1";"0";"0";"0";"1";"0";"0";"8";"1";"0";"0";"1";"1";"0";"1";"1";"0"
;;"15";"Konuksever-Tekin, A.";"37";"4";"5";"2";"1";"1";"0";"5";"2";"1";"0";"0";"0";"1";"1";"0";"3";"0";"1";"2";"0";"3";"0";"0";"5";"0"
;;"16";"Fkihi, O.";"23";"3";"1";"5";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"1";"0";"5";"0";"0";"2";"0";"0";"0";"1";"0";"0"
;;"17";"Çetinkaya, T.";"133";"3";"1";"4";"1";"2";"0";"22";"7";"1";"0";"0";"0";"0";"2";"0";"50";"1";"1";"3";"1";"1";"0";"16";"17";"0"
;;"18";"Şahin, E.";"14";"2";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"1";"0";"2";"0";"0";"1";"0";"0";"0";"1";"2";"0"
;;"19";"Kahramanoğlu, C.";"14";"1";"2";"2";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"20";"Kaplan, Ç.";"7";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Manhoef, E.E.";"29";"5";"3";"4";"1";"1";"0";"5";"0";"0";"0";"1";"0";"0";"0";"1";"3";"0";"2";"0";"0";"1";"0";"0";"1";"1"
;;"22";"Tan, C.";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kondu, F.";"14";"1";"2";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"1";"0";"1";"0";"1";"2";"0"
;;"24";"Şimşek, J.I.";"7";"0";"0";"2";"0";"1";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Ileri, F.";"34";"2";"2";"1";"0";"1";"0";"7";"1";"0";"0";"0";"0";"0";"0";"1";"9";"0";"0";"2";"0";"1";"0";"4";"3";"0"
;;"26";"Buyatui, H.";"11";"2";"0";"1";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"3";"0";"0"
;;"27";"van Burik, M.";"9";"1";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"28";"Muradin, N.";"44";"2";"6";"1";"0";"0";"0";"1";"2";"0";"0";"0";"1";"2";"1";"0";"18";"0";"0";"0";"0";"0";"0";"6";"4";"0"
;;"29";"Delener, I.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"30";"Sodirijo, S.D.";"27";"0";"11";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"1";"0";"0";"5";"0";"0";"4";"0";"0";"0";"0";"0";"1"
;;"31";"Ağirbaş, A.";"22";"2";"7";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"5";"0";"0";"0";"1";"0";"0"
;;"32";"Özcan, R.";"22";"7";"2";"0";"0";"1";"0";"4";"0";"0";"0";"1";"0";"1";"1";"2";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0"
;;"33";"Tangali, M.J.";"108";"4";"0";"0";"0";"1";"0";"53";"8";"0";"0";"3";"6";"0";"1";"0";"17";"0";"5";"0";"0";"0";"0";"8";"2";"0"
;;"34";"Othman, R.";"40";"6";"1";"4";"0";"0";"0";"9";"0";"0";"1";"0";"1";"0";"2";"0";"4";"1";"0";"8";"0";"0";"0";"2";"1";"0"
;;"35";"Yildirim, A.";"14";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"3";"0";"0";"2";"0";"0";"0";"0";"3";"0"
;;"36";"Akhatab, N.";"76";"6";"4";"9";"0";"0";"2";"9";"0";"0";"0";"1";"0";"0";"3";"0";"6";"0";"0";"21";"0";"3";"2";"2";"6";"2"
;;"37";"Ben Touhami, M.";"52";"4";"1";"11";"0";"1";"0";"12";"1";"1";"0";"0";"0";"0";"3";"0";"7";"0";"4";"1";"0";"2";"0";"2";"0";"2"
;;"38";"Bal, M.I.";"12";"4";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"2";"0"
;;"39";"Pancar, Ş.";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"40";"Akça, S.";"6";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0"
;;"41";"Dokgöz, Ş.";"19";"4";"0";"1";"0";"1";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"5";"0";"0";"2";"0";"0";"2";"0";"0";"1"
;;"42";"Icar, N.";"43";"4";"0";"6";"0";"0";"0";"3";"0";"0";"2";"0";"0";"0";"0";"1";"17";"0";"0";"1";"0";"0";"0";"7";"2";"0"
;;"43";"Khan, S.Y.";"30";"4";"5";"0";"0";"4";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0";"2";"4"
;;"44";"Sungur, M.";"35";"27";"0";"0";"0";"1";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"0";"0"
