"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"11";"Synhaeve, M.";"414";"9";"3";"10";"74";"86";"3";"17";"10";"19";"10";"7";"8";"6";"6";"1";"1";"3";"100";"4";"6";"12";"4";"7";"6";"2"
;;"12";"van Ginneken, L.M.";"359";"15";"7";"5";"56";"75";"1";"10";"7";"25";"11";"3";"10";"3";"11";"0";"0";"6";"83";"2";"5";"3";"5";"8";"3";"5"
;;"13";"Belhaj, S.";"138";"4";"3";"2";"25";"20";"3";"0";"1";"8";"4";"0";"2";"2";"3";"1";"0";"3";"40";"0";"3";"4";"3";"4";"2";"1"
;;"14";"Boulakjar, F.";"25";"0";"0";"0";"2";"6";"1";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"2";"0";"0";"0";"0";"0"
;;"15";"Sahla, F.";"58";"2";"1";"2";"11";"8";"0";"1";"2";"5";"3";"0";"3";"0";"5";"0";"0";"0";"11";"0";"2";"0";"1";"1";"0";"0"
;;"16";"Klos, F.C.O.";"28";"3";"0";"1";"4";"6";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"1";"1";"0";"0";"0";"1"
;;"17";"Kat, H.";"74";"2";"0";"1";"14";"15";"2";"1";"1";"5";"2";"2";"1";"0";"0";"0";"0";"0";"22";"0";"1";"2";"2";"0";"0";"1"
;;"18";"Warmerdam, S.";"17";"0";"0";"0";"3";"6";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Alberg, S.T.";"35";"2";"1";"0";"3";"7";"1";"0";"2";"2";"1";"0";"4";"0";"1";"1";"0";"0";"8";"1";"0";"1";"0";"0";"0";"0"
;;"20";"Hammelburg, A.R.";"15";"2";"0";"0";"2";"1";"2";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"2";"0";"0";"0";"0"
;;"21";"Hollander, J.";"134";"5";"1";"4";"25";"12";"2";"3";"3";"7";"2";"0";"4";"0";"4";"1";"0";"1";"36";"2";"14";"1";"0";"3";"2";"2"
;;"22";"ten Dolle, L.";"437";"21";"16";"10";"63";"95";"25";"9";"12";"68";"2";"6";"13";"2";"8";"1";"5";"5";"31";"5";"4";"11";"8";"9";"8";"0"
;;"23";"Blommers, D.";"23";"0";"1";"0";"3";"3";"0";"0";"0";"2";"1";"0";"1";"0";"2";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0"
;;"24";"van Breugel, C.";"73";"2";"1";"0";"10";"15";"1";"0";"0";"4";"4";"1";"1";"6";"3";"0";"2";"2";"15";"0";"3";"1";"1";"1";"0";"0"
;;"25";"Teunissen, J.C.M.";"8";"1";"0";"0";"2";"1";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Çimen, M.";"28";"4";"2";"1";"9";"2";"0";"0";"0";"3";"0";"0";"2";"0";"0";"0";"0";"0";"4";"0";"0";"0";"1";"0";"0";"0"
;;"27";"Oualhadj, A.";"19";"0";"1";"0";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"8";"0";"2";"1";"0";"1";"1";"0"
;;"28";"Putuhena, M.";"9";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0"
;;"29";"Keij, E.J.";"19";"0";"1";"1";"3";"1";"0";"1";"0";"3";"0";"0";"0";"2";"3";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Brink, V.J.";"52";"1";"1";"5";"2";"2";"0";"1";"0";"0";"3";"0";"0";"0";"1";"0";"0";"1";"31";"0";"2";"0";"0";"2";"0";"0"
