"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Zwolle"
"Nummer";;"HSB4"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Almelo";"Borne";"Dalfsen";"Deventer";"Enschede";"Haaksbergen";"Hardenberg";"Hellendoorn";"Hengelo (O)";"Kampen";"Losser";"Oldenzaal";"Ommen";"Raalte";"Staphorst";"Tubbergen";"Wierden";"Zwolle";"Twenterand";"Steenwijkerland";"Hof van Twente";"Rijssen-Holten";"Olst-Wijhe";"Dinkelland";"Zwartewaterland"
;;"2";"Nanninga, A.";"537";"23";"4";"13";"44";"54";"11";"41";"16";"39";"34";"7";"11";"12";"24";"11";"4";"9";"67";"13";"37";"13";"20";"10";"11";"9"
;;"3";"Ceulemans, S.";"15";"0";"0";"0";"0";"2";"0";"2";"1";"1";"0";"0";"0";"0";"1";"3";"0";"0";"1";"0";"2";"0";"0";"2";"0";"0"
;;"4";"Bakker-Derks, E.H.M.";"46";"1";"1";"1";"3";"6";"6";"6";"1";"5";"1";"0";"0";"0";"1";"0";"1";"0";"5";"0";"3";"0";"2";"0";"1";"2"
;;"5";"van Doorn, D.M.A.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"6";"Goudzwaard, M.";"17";"0";"1";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"1";"0";"0";"2";"3";"1";"4";"0";"0";"0";"0";"1"
;;"7";"Schyns, P.F.M.";"7";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"8";"Uiterwijk, K.";"19";"0";"1";"1";"2";"1";"0";"0";"1";"4";"2";"0";"1";"0";"1";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"1"
;;"9";"Dijksterhuis, R.G.";"9";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"2";"0";"5";"0";"0";"0";"0";"0"
;;"10";"van den Berg, D.J.";"7";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"11";"Omlo, H.";"30";"0";"0";"0";"1";"2";"2";"10";"0";"1";"0";"0";"0";"1";"1";"3";"0";"1";"2";"0";"5";"0";"0";"1";"0";"0"
;;"12";"Hesselink, S.W.J.";"180";"22";"14";"0";"0";"11";"7";"10";"8";"17";"0";"7";"7";"0";"6";"0";"19";"8";"0";"12";"2";"8";"5";"1";"16";"0"
;;"13";"Nuijten, K.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"14";"Roos, S.M.";"10";"0";"0";"0";"2";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"1"
;;"15";"Soltani, M.";"6";"0";"0";"0";"2";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Baten, L.C.C.";"4";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"17";"Kövi, J.J.H.M.";"2";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Wilson, L.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"19";"van Vugt, T.";"3";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"20";"Wanders, A.M.J.M.";"5";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0"
;;"21";"Lodders, I.A.G.";"10";"0";"1";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"1"
;;"22";"Vos, L.L.";"3";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kauffmann, F.W.";"3";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"6";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"25";"Hogendoorn, G.A.M.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Gordijn, C.";"16";"0";"2";"1";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"0";"3";"1";"2";"0";"1";"0";"0";"0"
;;"27";"Bloemenkamp, J.H.";"82";"3";"3";"3";"27";"3";"2";"2";"2";"3";"1";"0";"2";"1";"5";"0";"0";"3";"6";"1";"0";"2";"3";"8";"0";"2"
;;"28";"Waitz, J.W.A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Veenvliet, A.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Koetje, J.M.";"3";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Buijs, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Buijt, R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"5";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
;;"34";"de Groot, G.P.J.";"3";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Hieralal, K.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"2";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pastors, M.G.T.";"2";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Fortuijn, S.A.F.";"13";"1";"1";"0";"2";"3";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"22334";"228";"38";"474";"207";"337";"25";"789";"191";"131";"3678";"12";"22";"254";"68";"3641";"25";"658";"956";"1091";"445";"109";"5776";"58";"21";"3100"
;;"1";"Stoffer, C.";"19629";"207";"35";"435";"170";"295";"24";"719";"168";"108";"3227";"12";"20";"233";"62";"3207";"22";"583";"815";"1002";"387";"99";"5087";"50";"19";"2643"
;;"2";"van Dijk, D.J.H.";"479";"0";"0";"15";"7";"7";"1";"22";"1";"7";"92";"0";"1";"2";"0";"98";"1";"13";"27";"22";"9";"2";"97";"3";"0";"52"
;;"3";"Flach, A.J.";"133";"3";"0";"2";"2";"5";"0";"3";"1";"4";"25";"0";"0";"0";"0";"24";"0";"3";"12";"3";"3";"0";"24";"3";"1";"15"
;;"4";"Middelkoop, P.N.";"404";"3";"0";"4";"3";"6";"0";"18";"7";"0";"101";"0";"0";"5";"0";"42";"0";"11";"29";"13";"31";"1";"30";"0";"0";"100"
;;"5";"Vroegindeweij, W.J.";"81";"1";"1";"2";"0";"1";"0";"2";"1";"0";"11";"0";"0";"1";"0";"6";"0";"0";"4";"2";"1";"0";"46";"0";"0";"2"
;;"6";"van der Maas, A.J.";"16";"0";"0";"1";"0";"0";"0";"0";"0";"1";"4";"0";"0";"0";"0";"1";"0";"0";"4";"0";"1";"0";"4";"0";"0";"0"
;;"7";"van der Wind, H.J.";"90";"0";"0";"3";"0";"3";"0";"3";"2";"0";"15";"0";"0";"1";"0";"23";"0";"2";"8";"2";"1";"0";"7";"0";"0";"20"
;;"8";"Both, D.D.";"14";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"1";"1";"1";"0";"3";"0";"0";"2"
;;"9";"Kloosterman, J.";"69";"1";"0";"0";"6";"1";"0";"0";"0";"1";"13";"0";"0";"0";"1";"14";"0";"1";"4";"6";"1";"0";"17";"0";"0";"3"
;;"10";"van Heijst, R.C.";"52";"0";"0";"0";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0";"1";"5";"0";"2";"4";"1";"0";"0";"33";"0";"0";"1"
;;"11";"van der Wulp, A.D.";"13";"0";"0";"0";"1";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"8";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"12";"Polinder, H.J.";"42";"0";"0";"0";"0";"1";"0";"0";"0";"0";"14";"0";"0";"0";"0";"6";"0";"0";"7";"2";"0";"0";"3";"0";"0";"9"
;;"13";"Slingerland, M.";"278";"0";"0";"3";"0";"0";"0";"0";"0";"0";"28";"0";"0";"0";"1";"8";"0";"0";"11";"4";"2";"0";"2";"0";"0";"219"
;;"14";"van Duijn, W.J.";"17";"1";"0";"0";"1";"1";"0";"0";"1";"1";"1";"0";"0";"0";"0";"4";"0";"0";"1";"1";"0";"0";"2";"0";"0";"3"
;;"15";"Barth, L.G.I.";"5";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0"
;;"16";"Lukasse, J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"17";"Tanis, J.P.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"18";"Bosma, E.G.";"334";"6";"0";"0";"3";"2";"0";"4";"1";"3";"4";"0";"0";"10";"2";"0";"0";"29";"1";"17";"2";"6";"241";"2";"0";"1"
;;"19";"Schipaanboord, G.P.";"8";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"1";"1";"0";"0";"3";"0";"0";"0"
;;"20";"Veldman, J.D.";"5";"0";"0";"0";"1";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"21";"Hartog, J.";"15";"1";"0";"0";"0";"0";"0";"5";"0";"0";"2";"0";"0";"0";"0";"3";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Koekoek, J.T.";"60";"0";"0";"0";"0";"0";"0";"3";"0";"0";"15";"0";"0";"1";"1";"20";"1";"1";"5";"1";"1";"0";"2";"0";"0";"9"
;;"23";"de Knegt, L.";"7";"0";"1";"0";"2";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"24";"van Leeuwen, G.R.";"10";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"1";"0";"5";"0";"0";"0"
;;"25";"Bakker, T.";"4";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Kok, W.H.";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0"
;;"27";"van Westreenen, S.";"11";"0";"0";"0";"0";"1";"0";"1";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"2";"0";"0";"0";"2";"0";"0";"3"
;;"28";"Noordergraaf, P.T.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0"
;;"29";"Boersma, A.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0"
;;"30";"Talen, L.";"172";"0";"0";"1";"0";"0";"0";"5";"1";"0";"6";"0";"0";"0";"0";"149";"0";"0";"1";"1";"0";"0";"1";"0";"1";"6"
;;"31";"van de Waerdt, C.J.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Bulten, H.G.";"5";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0"
;;"33";"Versteeg, A.";"7";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0"
;;"34";"Kisteman, L.";"8";"0";"0";"4";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"van Bruchem, L.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"36";"van den Dikkenberg, L.C.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Herweijer, H.";"4";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"38";"van Laar, G.J.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0"
;;"39";"Scheppink, A.J.";"183";"2";"0";"1";"2";"3";"0";"3";"5";"3";"1";"0";"0";"1";"0";"1";"0";"10";"0";"4";"0";"0";"146";"0";"0";"1"
;;"40";"van Heteren, R.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van den Belt, B.";"109";"0";"0";"2";"0";"1";"0";"0";"0";"0";"88";"0";"0";"0";"0";"2";"0";"0";"3";"4";"1";"0";"1";"0";"0";"7"
;;"42";"van Iwaarden, D.";"6";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0"
;;"43";"van Tuijl, L.O.";"10";"0";"0";"0";"2";"0";"0";"0";"0";"1";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"1"
;;"44";"Proos, A.J.";"26";"3";"0";"1";"2";"1";"0";"0";"1";"0";"4";"0";"0";"0";"0";"3";"0";"0";"3";"1";"1";"0";"5";"0";"0";"1"
"13";"DENK";;;"10138";"1465";"80";"33";"2144";"2481";"229";"125";"87";"933";"370";"35";"288";"21";"108";"23";"16";"27";"1182";"39";"145";"87";"133";"45";"18";"24"
;;"1";"van Baarle, S.R.T.";"6498";"1037";"66";"26";"906";"1723";"162";"90";"60";"663";"274";"23";"214";"10";"71";"16";"10";"22";"770";"35";"101";"61";"96";"29";"15";"18"
;;"2";"Ergin, D.A.";"764";"214";"5";"0";"44";"189";"25";"3";"9";"85";"39";"5";"39";"0";"2";"1";"0";"0";"64";"2";"11";"11";"11";"3";"1";"1"
;;"3";"El Abassi, I.";"257";"26";"3";"1";"22";"97";"2";"11";"1";"21";"5";"1";"5";"2";"2";"1";"0";"0";"50";"1";"5";"0";"1";"0";"0";"0"
;;"4";"Alrubey, A.";"201";"10";"2";"0";"21";"47";"2";"8";"5";"15";"4";"1";"5";"0";"2";"3";"0";"0";"56";"0";"8";"5";"5";"2";"0";"0"
;;"5";"Gün, E.";"171";"14";"3";"0";"12";"73";"8";"1";"1";"21";"7";"2";"1";"0";"0";"0";"0";"1";"20";"0";"2";"1";"2";"0";"0";"2"
;;"6";"Usta, Y.";"129";"13";"0";"0";"9";"23";"9";"0";"0";"10";"4";"0";"4";"1";"4";"0";"0";"0";"46";"0";"4";"1";"0";"1";"0";"0"
;;"7";"Rijssel, N.E.";"38";"3";"0";"0";"5";"6";"0";"0";"0";"3";"2";"0";"1";"1";"1";"0";"1";"1";"12";"0";"1";"0";"0";"0";"0";"1"
;;"8";"Maroof, A.";"43";"5";"0";"0";"0";"11";"0";"6";"0";"7";"6";"0";"0";"1";"0";"2";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0"
;;"9";"Mac Intosch, G.J.";"8";"1";"0";"0";"3";"1";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"10";"Safranti, M.";"24";"6";"0";"0";"2";"1";"1";"2";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"0"
;;"11";"Bayrakci, Y.C.";"23";"5";"0";"0";"0";"6";"0";"0";"0";"1";"3";"0";"0";"0";"0";"0";"0";"0";"4";"0";"2";"1";"1";"0";"0";"0"
;;"12";"Ghazi, M.I.";"28";"5";"0";"1";"0";"10";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Özçelik, S.";"68";"8";"0";"1";"6";"23";"1";"1";"0";"5";"2";"1";"0";"3";"0";"0";"0";"0";"9";"0";"4";"1";"1";"0";"0";"2"
;;"14";"Kaya, A.";"1273";"22";"0";"1";"1065";"59";"4";"0";"2";"13";"13";"1";"0";"0";"22";"0";"0";"0";"47";"1";"2";"3";"8";"9";"1";"0"
;;"15";"Konuksever-Tekin, A.";"32";"0";"0";"0";"6";"13";"2";"0";"0";"3";"1";"0";"2";"0";"1";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Fkihi, O.";"6";"1";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"17";"Çetinkaya, T.";"104";"26";"0";"0";"24";"16";"3";"0";"0";"27";"5";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"1";"0";"0";"0";"0"
;;"18";"Şahin, E.";"14";"2";"0";"0";"4";"3";"0";"0";"0";"1";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Kahramanoğlu, C.";"7";"0";"0";"0";"1";"4";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"20";"Kaplan, Ç.";"211";"38";"0";"0";"1";"123";"6";"0";"4";"23";"0";"1";"8";"0";"0";"0";"0";"0";"1";"0";"0";"1";"5";"0";"0";"0"
;;"21";"Manhoef, E.E.";"4";"0";"0";"0";"0";"1";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Tan, C.";"6";"1";"0";"0";"2";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"23";"Kondu, F.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"24";"Şimşek, J.I.";"13";"1";"0";"0";"2";"4";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Ileri, F.";"17";"1";"0";"0";"0";"1";"0";"0";"0";"3";"1";"0";"2";"0";"1";"0";"0";"1";"5";"0";"0";"0";"2";"0";"0";"0"
;;"26";"Buyatui, H.";"7";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"27";"van Burik, M.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Muradin, N.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Delener, I.";"4";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Sodirijo, S.D.";"2";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Ağirbaş, A.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Özcan, R.";"5";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"33";"Tangali, M.J.";"17";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"11";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Othman, R.";"13";"0";"0";"0";"0";"8";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"1";"0"
;;"35";"Yildirim, A.";"18";"2";"0";"0";"1";"5";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"8";"0";"0";"0";"0";"0";"0";"0"
;;"36";"Akhatab, N.";"5";"2";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Ben Touhami, M.";"11";"0";"0";"0";"0";"6";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Bal, M.I.";"43";"6";"1";"0";"6";"3";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0";"0";"22";"0";"0";"1";"1";"0";"0";"0"
;;"39";"Pancar, Ş.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"40";"Akça, S.";"6";"2";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Dokgöz, Ş.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"42";"Icar, N.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Khan, S.Y.";"8";"0";"0";"2";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Sungur, M.";"12";"3";"0";"0";"1";"2";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Koyuncu, S.";"14";"2";"0";"0";"1";"3";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"0"
;;"46";"Achbar, F.";"8";"0";"0";"0";"0";"4";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0"
"14";"50PLUS";;;"2153";"155";"26";"57";"272";"203";"42";"165";"83";"169";"83";"35";"57";"28";"59";"24";"17";"32";"287";"46";"95";"73";"50";"40";"21";"34"
;;"1";"van Hooft, G.O.P.C.";"1389";"94";"14";"33";"178";"131";"26";"106";"61";"105";"44";"21";"30";"22";"36";"12";"13";"23";"185";"33";"69";"54";"35";"30";"13";"21"
;;"2";"van Rooij, M.G.J.H.";"69";"3";"2";"5";"8";"10";"2";"4";"5";"4";"2";"3";"1";"1";"4";"0";"0";"0";"8";"1";"0";"3";"1";"0";"1";"1"
;;"3";"Brouwers, J.F.X.M.";"39";"2";"0";"1";"2";"4";"3";"2";"1";"1";"0";"0";"3";"1";"1";"0";"0";"1";"10";"0";"1";"2";"2";"1";"0";"1"
;;"4";"Hoek, W.M.M.";"369";"29";"6";"11";"50";"30";"6";"22";"10";"33";"23";"7";"12";"2";"11";"7";"4";"5";"54";"8";"9";"8";"7";"5";"6";"4"
;;"5";"van Acquoij, R.H.";"6";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0"
;;"6";"Hernández Martínez, A.";"87";"7";"1";"2";"9";"6";"2";"10";"2";"10";"5";"0";"3";"0";"3";"0";"0";"0";"19";"0";"4";"1";"0";"1";"1";"1"
;;"7";"Fonhof, G.J.";"25";"0";"0";"1";"2";"3";"0";"2";"0";"1";"2";"0";"1";"0";"0";"0";"0";"2";"1";"2";"6";"1";"1";"0";"0";"0"
;;"8";"van Tilborg, H.C.A.M.";"6";"0";"0";"1";"1";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"9";"van Orsouw, J.H.T.";"5";"0";"0";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"10";"Faassen, A.G.";"10";"2";"0";"0";"0";"2";"0";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"11";"Hessing, J.C.";"3";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Jablonski, J.";"4";"2";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"13";"Bongers, J.W.M.";"8";"0";"0";"0";"3";"0";"0";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
