"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
;;"22";"Vos, L.L.";"7";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"2"
;;"23";"Kauffmann, F.W.";"7";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1";"3";"1";"0";"0";"0";"0";"0";"0"
;;"24";"de Rijke, W.M.";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Hogendoorn, G.A.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"26";"Gordijn, C.";"111";"7";"0";"4";"2";"0";"0";"2";"2";"0";"6";"0";"0";"5";"2";"1";"1";"65";"1";"1";"0";"3";"1";"2";"6"
;;"27";"Bloemenkamp, J.H.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Waitz, J.W.A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Veenvliet, A.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Koetje, J.M.";"7";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"31";"Buijs, M.";"2";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Buijt, R.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"33";"Kersten, J.J.M.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"de Groot, G.P.J.";"5";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"0"
;;"35";"Hieralal, K.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"36";"Blijlevens, R.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"37";"Pastors, M.G.T.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"38";"Fortuijn, S.A.F.";"15";"2";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"3";"1";"0";"1";"0";"0";"0";"0";"1";"0";"4"
"12";"Staatkundig Gereformeerde Partij (SGP)";;;"1989";"124";"23";"32";"24";"155";"30";"210";"96";"12";"284";"21";"13";"83";"44";"70";"16";"284";"26";"48";"21";"40";"29";"136";"168"
;;"1";"Stoffer, C.";"1783";"110";"20";"24";"23";"149";"28";"194";"83";"10";"261";"19";"8";"71";"40";"66";"15";"248";"21";"36";"21";"36";"22";"129";"149"
;;"2";"van Dijk, D.J.H.";"35";"2";"1";"2";"0";"3";"1";"0";"5";"2";"1";"0";"0";"4";"0";"1";"1";"7";"1";"1";"0";"1";"0";"2";"0"
;;"3";"Flach, A.J.";"19";"0";"0";"0";"0";"0";"0";"2";"0";"0";"2";"0";"0";"2";"3";"0";"0";"3";"0";"3";"0";"2";"0";"1";"1"
;;"4";"Middelkoop, P.N.";"55";"3";"1";"2";"0";"1";"1";"8";"2";"0";"13";"0";"2";"1";"1";"0";"0";"5";"0";"2";"0";"1";"1";"3";"8"
;;"5";"Vroegindeweij, W.J.";"14";"0";"1";"0";"0";"0";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"4";"1";"0";"0";"0";"5";"0";"0"
;;"6";"van der Maas, A.J.";"4";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"2"
;;"7";"van der Wind, H.J.";"6";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"8";"Both, D.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"9";"Kloosterman, J.";"4";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1"
;;"10";"van Heijst, R.C.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"11";"van der Wulp, A.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"12";"Polinder, H.J.";"4";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"13";"Slingerland, M.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"14";"van Duijn, W.J.";"3";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"15";"Barth, L.G.I.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"16";"Lukasse, J.";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"17";"Tanis, J.P.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"18";"Bosma, E.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"19";"Schipaanboord, G.P.";"6";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"20";"Veldman, J.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"Hartog, J.";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"22";"Koekoek, J.T.";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"4";"0";"1";"0";"0";"0";"0";"0"
;;"23";"de Knegt, L.";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"24";"van Leeuwen, G.R.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Bakker, T.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"26";"Kok, W.H.";"6";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"1"
;;"27";"van Westreenen, S.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"28";"Noordergraaf, P.T.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Boersma, A.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"30";"Talen, L.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"31";"van de Waerdt, C.J.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"32";"Bulten, H.G.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0"
;;"33";"Versteeg, A.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Kisteman, L.";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"3"
;;"35";"van Bruchem, L.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"36";"van den Dikkenberg, L.C.";"2";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0"
;;"37";"Herweijer, H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"38";"van Laar, G.J.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Scheppink, A.J.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"40";"van Heteren, R.";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"van den Belt, B.";"2";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"42";"van Iwaarden, D.";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"43";"van Tuijl, L.O.";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"44";"Proos, A.J.";"5";"1";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
"13";"DENK";;;"10323";"1382";"52";"73";"135";"178";"50";"174";"866";"116";"176";"59";"18";"1071";"67";"28";"39";"4623";"51";"44";"37";"111";"37";"61";"875"
;;"1";"van Baarle, S.R.T.";"6751";"761";"42";"48";"84";"101";"34";"118";"581";"83";"108";"34";"7";"771";"43";"17";"32";"3147";"38";"26";"18";"73";"27";"39";"519"
;;"2";"Ergin, D.A.";"734";"126";"1";"5";"2";"52";"1";"15";"76";"0";"22";"4";"0";"38";"4";"0";"1";"311";"0";"3";"4";"1";"1";"5";"62"
;;"3";"El Abassi, I.";"389";"50";"1";"1";"19";"7";"0";"4";"41";"5";"4";"5";"3";"54";"0";"3";"1";"154";"1";"2";"3";"6";"0";"2";"23"
;;"4";"Alrubey, A.";"466";"81";"0";"4";"6";"9";"5";"15";"42";"6";"8";"5";"1";"40";"11";"1";"2";"76";"7";"7";"4";"1";"5";"5";"125"
;;"5";"Gün, E.";"220";"32";"0";"0";"2";"2";"1";"1";"18";"4";"3";"3";"0";"32";"1";"0";"1";"104";"0";"2";"2";"1";"0";"0";"11"
;;"6";"Usta, Y.";"54";"11";"0";"1";"0";"3";"0";"0";"4";"1";"0";"0";"0";"4";"0";"0";"0";"30";"0";"0";"0";"0";"0";"0";"0"
;;"7";"Rijssel, N.E.";"77";"5";"0";"3";"0";"1";"0";"2";"6";"2";"0";"0";"2";"12";"2";"0";"1";"31";"1";"0";"1";"2";"0";"1";"5"
;;"8";"Maroof, A.";"85";"16";"0";"0";"7";"0";"1";"12";"5";"2";"4";"0";"0";"3";"2";"1";"0";"17";"1";"0";"0";"3";"0";"0";"11"
;;"9";"Mac Intosch, G.J.";"54";"4";"0";"0";"1";"0";"0";"0";"3";"1";"0";"0";"0";"11";"0";"0";"0";"33";"0";"0";"0";"1";"0";"0";"0"
;;"10";"Safranti, M.";"29";"0";"0";"0";"0";"0";"0";"0";"6";"1";"0";"0";"0";"6";"0";"0";"0";"13";"0";"1";"0";"0";"0";"0";"2"
;;"11";"Bayrakci, Y.C.";"38";"9";"0";"1";"0";"0";"0";"0";"2";"0";"0";"1";"0";"7";"0";"0";"0";"16";"0";"0";"0";"0";"0";"0";"2"
;;"12";"Ghazi, M.I.";"101";"16";"0";"0";"2";"0";"0";"0";"6";"5";"1";"1";"0";"25";"0";"0";"0";"33";"0";"0";"1";"1";"0";"0";"10"
;;"13";"Özçelik, S.";"75";"12";"0";"3";"1";"0";"0";"1";"15";"1";"2";"0";"1";"5";"0";"1";"0";"26";"0";"1";"0";"0";"0";"1";"5"
;;"14";"Kaya, A.";"62";"5";"0";"0";"0";"0";"0";"0";"1";"0";"2";"1";"0";"4";"0";"0";"0";"44";"0";"0";"0";"2";"1";"0";"2"
;;"15";"Konuksever-Tekin, A.";"114";"5";"0";"0";"0";"0";"0";"0";"3";"3";"17";"0";"0";"11";"0";"0";"0";"65";"1";"0";"0";"4";"0";"0";"5"
;;"16";"Fkihi, O.";"10";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"4";"0";"0";"0";"0";"0";"0";"2"
;;"17";"Çetinkaya, T.";"35";"2";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"2";"0";"0";"0";"17";"0";"0";"0";"2";"0";"0";"9"
;;"18";"Şahin, E.";"237";"3";"0";"0";"0";"0";"1";"0";"1";"0";"0";"3";"0";"6";"0";"0";"0";"215";"0";"0";"1";"1";"0";"0";"6"
;;"19";"Kahramanoğlu, C.";"14";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"10";"0";"0";"0";"0";"0";"0";"1"
;;"20";"Kaplan, Ç.";"5";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2"
;;"21";"Manhoef, E.E.";"28";"4";"0";"0";"0";"1";"0";"1";"1";"0";"1";"1";"1";"2";"1";"1";"0";"7";"0";"1";"1";"2";"1";"0";"2"
;;"22";"Tan, C.";"3";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1"
;;"23";"Kondu, F.";"8";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"1"
;;"24";"Şimşek, J.I.";"6";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"0"
;;"25";"Ileri, F.";"18";"1";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"5";"0";"0";"0";"7";"0";"0";"0";"1";"0";"0";"0"
;;"26";"Buyatui, H.";"4";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"27";"van Burik, M.";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"5";"0";"0";"0";"0";"0";"0";"1"
;;"28";"Muradin, N.";"5";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Delener, I.";"9";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"6";"0";"0";"0";"0";"0";"0";"1"
;;"30";"Sodirijo, S.D.";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"1";"0";"0";"0";"0";"0";"0"
;;"31";"Ağirbaş, A.";"7";"5";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"32";"Özcan, R.";"9";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"5";"0";"0";"0";"0";"0";"0";"1"
;;"33";"Tangali, M.J.";"11";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"5";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"34";"Othman, R.";"296";"213";"7";"5";"1";"0";"5";"0";"4";"0";"1";"0";"1";"2";"2";"4";"0";"9";"0";"1";"0";"1";"2";"6";"32"
;;"35";"Yildirim, A.";"14";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"9";"0";"0";"0";"2";"0";"0";"0"
;;"36";"Akhatab, N.";"9";"0";"0";"0";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"0";"4";"0";"0";"0";"0";"0";"1";"0"
;;"37";"Ben Touhami, M.";"15";"2";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"6";"0";"0";"0";"2";"0";"0";"0"
;;"38";"Bal, M.I.";"2";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"39";"Pancar, Ş.";"114";"0";"0";"0";"0";"0";"0";"0";"6";"0";"0";"0";"0";"5";"0";"0";"0";"100";"0";"0";"0";"3";"0";"0";"0"
;;"40";"Akça, S.";"6";"5";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"41";"Dokgöz, Ş.";"16";"1";"0";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"9";"0";"0";"0";"0";"0";"0";"3"
;;"42";"Icar, N.";"6";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"43";"Khan, S.Y.";"76";"2";"0";"0";"0";"0";"0";"2";"15";"0";"0";"0";"0";"5";"1";"0";"0";"22";"0";"0";"1";"2";"0";"0";"26"
;;"44";"Sungur, M.";"16";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"15";"0";"0";"0";"0";"0";"0";"0"
;;"45";"Koyuncu, S.";"59";"2";"0";"0";"1";"1";"0";"1";"8";"1";"1";"0";"0";"3";"0";"0";"0";"39";"0";"0";"1";"0";"0";"0";"1"
;;"46";"Achbar, F.";"25";"3";"0";"0";"4";"0";"0";"1";"0";"0";"1";"0";"1";"1";"0";"0";"0";"12";"0";"0";"0";"0";"0";"0";"2"
"14";"50PLUS";;;"4439";"499";"89";"116";"70";"72";"75";"261";"313";"33";"205";"35";"60";"392";"222";"47";"64";"725";"103";"127";"41";"92";"123";"246";"429"
;;"1";"van Hooft, G.O.P.C.";"2774";"310";"60";"70";"40";"46";"45";"158";"193";"19";"132";"21";"37";"215";"136";"27";"39";"440";"78";"89";"23";"64";"75";"174";"283"
;;"2";"van Rooij, M.G.J.H.";"169";"14";"4";"2";"6";"3";"0";"12";"7";"2";"4";"3";"2";"23";"12";"1";"4";"29";"4";"5";"3";"2";"4";"7";"16"
;;"3";"Brouwers, J.F.X.M.";"48";"6";"0";"2";"0";"0";"1";"3";"4";"0";"4";"0";"2";"9";"0";"1";"1";"3";"2";"1";"1";"0";"3";"3";"2"
;;"4";"Hoek, W.M.M.";"786";"98";"14";"25";"16";"16";"20";"45";"68";"5";"40";"3";"11";"69";"50";"10";"8";"123";"12";"16";"8";"14";"14";"33";"68"
;;"5";"van Acquoij, R.H.";"27";"1";"0";"4";"0";"0";"0";"1";"3";"0";"0";"0";"1";"3";"0";"0";"3";"4";"0";"0";"0";"1";"1";"2";"3"
;;"6";"Hernández Martínez, A.";"174";"20";"4";"4";"2";"3";"5";"15";"13";"3";"1";"2";"2";"16";"4";"1";"1";"36";"3";"4";"2";"3";"6";"5";"19"
;;"7";"Fonhof, G.J.";"18";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"2";"1";"0";"6";"0";"1";"0";"0";"1";"0";"2"
;;"8";"van Tilborg, H.C.A.M.";"15";"1";"0";"0";"0";"0";"1";"2";"3";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0";"1";"0";"0";"1";"0";"2"
;;"9";"van Orsouw, J.H.T.";"12";"2";"0";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"2";"1";"0";"1";"0";"0";"0";"0";"1";"2";"0";"0"
;;"10";"Faassen, A.G.";"85";"13";"1";"1";"0";"0";"0";"4";"2";"0";"7";"0";"0";"4";"4";"1";"2";"13";"2";"1";"0";"0";"8";"5";"17"
;;"11";"Hessing, J.C.";"14";"3";"0";"1";"0";"0";"0";"0";"0";"0";"3";"1";"0";"1";"1";"0";"0";"0";"0";"2";"0";"0";"1";"1";"0"
;;"12";"Jablonski, J.";"15";"2";"2";"0";"1";"1";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"2";"1";"0";"0";"0";"1";"0";"3"
;;"13";"Bongers, J.W.M.";"12";"2";"0";"1";"0";"0";"0";"1";"1";"0";"1";"0";"0";"2";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1"
;;"14";"Franse, A.H.";"7";"0";"0";"1";"0";"0";"0";"1";"0";"0";"1";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"0";"0";"0"
;;"15";"van Loon, J.C.A.";"21";"2";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"2";"1";"0";"1";"3";"0";"1";"0";"0";"1";"0";"6"
;;"16";"de Kruif, F.N.J.";"14";"2";"0";"0";"0";"0";"1";"4";"1";"0";"0";"0";"1";"1";"0";"0";"0";"0";"0";"0";"1";"2";"1";"0";"0"
;;"17";"van Es, J.W.";"141";"15";"3";"2";"4";"2";"1";"3";"8";"2";"6";"3";"0";"23";"6";"0";"1";"44";"1";"3";"1";"2";"3";"7";"1"
;;"18";"Biever, R.M.";"9";"1";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"2";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0"
;;"19";"Hamersma, K.";"11";"0";"0";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"4";"0";"0";"0";"2";"0";"1";"1"
;;"20";"Hornis, M.P.";"5";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"0";"1";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"21";"van Aert, J.L.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"22";"Vriens, M.F.L.";"7";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"1"
;;"23";"Voets, J.J.M.";"16";"0";"0";"0";"0";"0";"1";"1";"1";"0";"0";"0";"1";"0";"1";"0";"1";"4";"0";"1";"0";"0";"1";"3";"1"
;;"24";"Hendriks, J.";"58";"4";"0";"1";"1";"1";"0";"7";"4";"1";"3";"2";"1";"12";"1";"1";"1";"9";"0";"0";"1";"1";"0";"4";"3"
"15";"BBB";;;"33151";"2526";"801";"891";"2094";"392";"472";"1478";"1383";"262";"2103";"240";"850";"2310";"2516";"1079";"381";"2590";"1121";"776";"751";"563";"1481";"3724";"2367"
;;"1";"van der Plas, C.A.M.";"24237";"1839";"648";"695";"765";"304";"360";"1180";"1035";"199";"1608";"191";"681";"1602";"1875";"868";"296";"2013";"836";"573";"434";"423";"1109";"2905";"1798"
;;"2";"Keijzer, M.C.G.";"6267";"424";"100";"141";"1284";"62";"76";"178";"256";"46";"321";"39";"111";"536";"343";"147";"59";"361";"191";"136";"272";"109";"265";"436";"374"
;;"3";"Tuinman, G.P.";"277";"23";"8";"5";"8";"4";"1";"27";"7";"4";"25";"0";"1";"18";"18";"16";"5";"31";"6";"14";"7";"4";"7";"23";"15"
;;"4";"Vermeer, H.";"82";"8";"2";"1";"1";"1";"3";"2";"5";"1";"8";"1";"1";"2";"8";"4";"0";"6";"2";"2";"3";"0";"4";"10";"7"
;;"5";"Helder, L.M.J.S.";"140";"13";"4";"2";"3";"1";"1";"13";"9";"0";"8";"0";"3";"3";"12";"7";"3";"9";"3";"5";"4";"3";"6";"16";"12"
;;"6";"Pierik, C.R.";"56";"6";"1";"1";"2";"0";"1";"3";"2";"0";"4";"0";"2";"1";"6";"0";"0";"3";"3";"0";"1";"2";"3";"12";"3"
;;"7";"van Zanten, C.R.";"232";"17";"5";"6";"3";"0";"4";"8";"13";"1";"13";"2";"3";"20";"16";"4";"4";"51";"10";"3";"1";"4";"10";"18";"16"
;;"8";"Rummenie, J.F.";"14";"1";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"1";"0";"0";"0";"2";"1";"2";"1";"0";"0";"2";"1"
;;"9";"Pouw-Verweij, N.J.F.";"135";"14";"5";"4";"5";"2";"5";"10";"9";"0";"8";"0";"1";"5";"7";"5";"3";"5";"5";"7";"4";"0";"9";"12";"10"
;;"10";"Rikkers-Oosterkamp, M.G.F.";"61";"6";"3";"2";"0";"1";"1";"3";"2";"2";"4";"0";"0";"3";"4";"3";"0";"5";"3";"5";"0";"1";"2";"5";"6"
;;"11";"Wijen-Nass, M.J.M.H.";"30";"5";"0";"0";"1";"0";"0";"3";"1";"1";"0";"0";"0";"1";"7";"0";"0";"1";"1";"0";"1";"0";"2";"4";"2"
;;"12";"Oostenbrink, M.";"8";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"2";"0";"0";"0";"0";"1";"2"
