"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Den Helder"
"Nummer";;"HSB11"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alkmaar";"Bergen (NH)";"Castricum";"Edam-Volendam";"Enkhuizen";"Heiloo";"Den Helder";"Hoorn";"Landsmeer";"Medemblik";"Oostzaan";"Opmeer";"Purmerend";"Schagen";"Texel";"Uitgeest";"Zaanstad";"Drechterland";"Stede Broec";"Waterland";"Wormerland";"Koggenland";"Hollands Kroon";"Dijk en Waard"
;;"75";"Schollink, C.D.";"48";"5";"1";"1";"0";"0";"1";"3";"7";"0";"17";"0";"0";"2";"1";"0";"0";"3";"1";"0";"0";"0";"0";"3";"3"
;;"76";"de Wolff, I.";"4";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"17";"6";"0";"1";"1";"0";"0";"0";"2";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"2";"2";"1"
;;"78";"Yildirim, M.";"16";"0";"2";"1";"3";"0";"0";"1";"1";"0";"1";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"3";"0";"0";"1"
;;"79";"Mulder, H.";"54";"10";"5";"2";"1";"0";"3";"2";"2";"0";"2";"2";"0";"2";"2";"0";"0";"9";"0";"0";"0";"3";"1";"2";"6"
;;"80";"van der Weijden, M.";"224";"28";"5";"9";"5";"1";"14";"11";"13";"0";"6";"1";"1";"19";"26";"1";"1";"30";"2";"2";"1";"5";"8";"11";"24"
"2";"D66";;;"37594";"5156";"1639";"2206";"762";"689";"1645";"1322";"3010";"506";"1460";"323";"369";"2756";"1855";"478";"655";"4547";"708";"661";"794";"662";"828";"1290";"3273"
;;"1";"Jetten, R.A.A.";"26936";"3549";"1227";"1573";"551";"532";"1224";"1019";"2066";"358";"1079";"226";"269";"1879";"1362";"351";"453";"3190";"518";"493";"565";"494";"622";"958";"2378"
;;"2";"Paternotte, J.M.";"1199";"160";"57";"99";"20";"19";"65";"42";"90";"18";"47";"15";"8";"73";"49";"7";"29";"145";"30";"25";"30";"19";"26";"42";"84"
;;"3";"Vijlbrief, J.A.";"508";"67";"37";"33";"12";"4";"24";"18";"50";"5";"13";"3";"5";"39";"19";"12";"9";"57";"9";"6";"21";"13";"11";"5";"36"
;;"4";"Podt, A.";"3626";"543";"123";"208";"63";"62";"151";"104";"371";"40";"140";"25";"34";"269";"195";"44";"55";"422";"67";"60";"64";"43";"77";"105";"361"
;;"5";"Sneller, J.C.";"102";"10";"5";"5";"3";"2";"6";"3";"8";"1";"6";"0";"0";"8";"2";"1";"0";"21";"2";"0";"3";"4";"1";"2";"9"
;;"6";"Rooderkerk, I.";"958";"129";"27";"55";"23";"6";"23";"22";"80";"21";"22";"12";"10";"118";"35";"8";"14";"154";"12";"9";"30";"22";"13";"31";"82"
;;"7";"Paulusma, W.";"358";"54";"17";"21";"4";"5";"18";"15";"27";"6";"18";"6";"6";"30";"17";"2";"5";"29";"8";"3";"5";"8";"6";"23";"25"
;;"8";"van der Werf, J.J.";"380";"87";"13";"24";"3";"4";"14";"10";"26";"2";"9";"4";"6";"26";"18";"2";"11";"42";"7";"11";"8";"6";"8";"9";"30"
;;"9";"Bamenga, P.";"98";"19";"4";"3";"9";"1";"0";"1";"10";"1";"2";"0";"0";"8";"3";"0";"1";"20";"0";"2";"3";"1";"0";"2";"8"
;;"10";"de Groot, T.C.";"220";"28";"13";"13";"1";"0";"17";"5";"17";"2";"4";"2";"0";"24";"20";"11";"4";"19";"1";"5";"6";"5";"0";"8";"15"
;;"11";"Synhaeve, M.";"298";"47";"8";"18";"4";"4";"15";"9";"27";"1";"6";"1";"4";"21";"11";"7";"3";"44";"5";"2";"10";"5";"7";"13";"26"
;;"12";"van Ginneken, L.M.";"648";"118";"11";"31";"14";"9";"24";"11";"50";"20";"17";"9";"6";"64";"29";"4";"15";"104";"9";"11";"12";"9";"11";"18";"42"
;;"13";"Belhaj, S.";"188";"33";"9";"7";"5";"5";"3";"7";"14";"6";"5";"0";"2";"25";"5";"2";"1";"26";"2";"1";"4";"3";"4";"7";"12"
;;"14";"Boulakjar, F.";"31";"6";"2";"1";"0";"1";"1";"0";"4";"0";"1";"1";"0";"3";"2";"0";"0";"5";"1";"0";"0";"0";"0";"0";"3"
;;"15";"Sahla, F.";"57";"11";"3";"0";"1";"0";"2";"0";"3";"2";"1";"2";"0";"7";"0";"0";"1";"9";"0";"0";"1";"0";"2";"6";"6"
;;"16";"Klos, F.C.O.";"47";"12";"2";"1";"1";"0";"0";"1";"5";"1";"1";"1";"0";"5";"3";"0";"1";"4";"1";"0";"3";"1";"1";"0";"3"
;;"17";"Kat, H.";"131";"24";"1";"9";"0";"2";"2";"1";"6";"0";"12";"0";"1";"9";"4";"2";"7";"29";"0";"1";"0";"2";"3";"2";"14"
;;"18";"Warmerdam, S.";"40";"3";"2";"4";"0";"0";"1";"1";"1";"1";"4";"1";"0";"5";"2";"1";"0";"10";"0";"1";"1";"0";"1";"1";"0"
;;"19";"Alberg, S.T.";"45";"2";"1";"3";"1";"1";"2";"2";"2";"0";"1";"0";"0";"5";"2";"0";"1";"9";"1";"2";"2";"1";"1";"2";"4"
;;"20";"Hammelburg, A.R.";"34";"8";"0";"0";"1";"0";"1";"2";"2";"0";"0";"0";"0";"5";"0";"0";"0";"9";"0";"0";"1";"0";"2";"1";"2"
;;"21";"Hollander, J.";"87";"14";"7";"2";"2";"0";"2";"3";"7";"0";"3";"0";"1";"9";"6";"5";"4";"3";"1";"0";"2";"1";"0";"5";"10"
;;"22";"ten Dolle, L.";"78";"10";"0";"4";"1";"1";"3";"4";"8";"1";"6";"1";"1";"7";"7";"0";"1";"6";"1";"3";"0";"3";"2";"1";"7"
;;"23";"Blommers, D.";"58";"7";"5";"3";"1";"0";"1";"1";"6";"2";"0";"0";"0";"5";"1";"0";"5";"15";"1";"0";"1";"1";"1";"0";"2"
;;"24";"van Breugel, C.";"97";"20";"4";"6";"6";"4";"2";"1";"3";"2";"0";"4";"1";"7";"3";"3";"4";"17";"0";"2";"1";"1";"1";"1";"4"
;;"25";"Teunissen, J.C.M.";"5";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"1"
;;"26";"Çimen, M.";"96";"24";"2";"7";"3";"3";"1";"3";"5";"1";"1";"1";"2";"3";"7";"1";"4";"8";"0";"2";"0";"2";"0";"2";"14"
;;"27";"Oualhadj, A.";"17";"2";"1";"0";"2";"0";"1";"0";"1";"0";"1";"0";"0";"2";"1";"0";"0";"3";"0";"0";"0";"0";"1";"1";"1"
;;"28";"Putuhena, M.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"2";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Keij, E.J.";"22";"0";"1";"2";"1";"1";"3";"2";"1";"0";"1";"0";"1";"1";"0";"0";"1";"2";"0";"0";"1";"0";"0";"0";"4"
;;"30";"Brink, V.J.";"18";"2";"2";"2";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"6";"0";"0";"0";"0";"1";"1";"1"
;;"31";"van Dorst, P.A.";"12";"3";"0";"1";"1";"0";"0";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"0";"0";"1";"0";"1";"1"
;;"32";"Wijnja, G.H.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0"
;;"33";"de Vries, M.M.";"29";"5";"0";"2";"0";"0";"1";"2";"3";"0";"2";"0";"1";"4";"1";"1";"0";"3";"1";"2";"0";"0";"1";"0";"0"
;;"34";"Schoonbeek, F.";"4";"2";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"35";"Mathlouti, M.";"4";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
