"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Haarlem"
"Nummer";;"HSB10"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Aalsmeer";"Amstelveen";"Beverwijk";"Blaricum";"Bloemendaal";"Diemen";"Haarlem";"Haarlemmermeer";"Heemskerk";"Heemstede";"Hilversum";"Huizen";"Laren";"Ouder-Amstel";"Uithoorn";"Velsen";"Zandvoort";"Wijdemeren";"Gooise Meren"
;;"74";"Rodoe, H.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1"
;;"75";"Schollink, C.D.";"117";"0";"0";"7";"0";"3";"1";"14";"4";"9";"2";"0";"0";"0";"0";"0";"77";"0";"0";"0"
;;"76";"de Wolff, I.";"7";"0";"0";"1";"1";"0";"0";"1";"1";"0";"1";"1";"1";"0";"0";"0";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"7";"0";"1";"0";"0";"0";"0";"1";"0";"1";"0";"1";"0";"1";"0";"0";"1";"0";"0";"1"
;;"78";"Yildirim, M.";"22";"0";"4";"0";"2";"1";"1";"7";"3";"0";"0";"2";"0";"0";"0";"0";"2";"0";"0";"0"
;;"79";"Mulder, H.";"45";"1";"5";"1";"2";"2";"1";"4";"9";"1";"2";"6";"3";"1";"0";"1";"2";"1";"2";"1"
;;"80";"van der Weijden, M.";"234";"8";"19";"10";"4";"12";"2";"21";"39";"3";"5";"20";"13";"4";"6";"12";"18";"4";"8";"26"
"2";"D66";;;"48719";"1307";"4390";"1284";"627";"2072";"1103";"9685";"5725";"1550";"2304";"5130";"1802";"651";"880";"1174";"2672";"680";"1167";"4516"
;;"1";"Jetten, R.A.A.";"32732";"870";"2904";"876";"463";"1473";"720";"6108";"3932";"1098";"1605";"3387";"1238";"469";"603";"806";"1811";"516";"803";"3050"
;;"2";"Paternotte, J.M.";"1635";"55";"178";"50";"20";"59";"32";"308";"220";"43";"74";"160";"51";"26";"28";"44";"81";"20";"41";"145"
;;"3";"Vijlbrief, J.A.";"784";"26";"70";"12";"13";"28";"15";"154";"81";"11";"50";"94";"28";"12";"15";"13";"40";"11";"26";"85"
;;"4";"Podt, A.";"4902";"109";"389";"139";"55";"177";"103";"1048";"498";"162";"208";"588";"227";"66";"79";"126";"226";"55";"127";"520"
;;"5";"Sneller, J.C.";"128";"2";"19";"2";"0";"4";"2";"34";"16";"2";"11";"16";"3";"0";"1";"1";"6";"1";"1";"7"
;;"6";"Rooderkerk, I.";"1330";"47";"176";"28";"11";"40";"51";"264";"192";"41";"54";"102";"45";"12";"30";"45";"49";"14";"24";"105"
;;"7";"Paulusma, W.";"436";"12";"39";"12";"4";"21";"12";"97";"40";"15";"16";"44";"17";"7";"9";"11";"25";"9";"9";"37"
;;"8";"van der Werf, J.J.";"641";"21";"54";"10";"6";"28";"15";"172";"59";"17";"40";"62";"25";"7";"6";"15";"25";"5";"7";"67"
;;"9";"Bamenga, P.";"189";"4";"22";"7";"1";"5";"15";"49";"20";"4";"8";"17";"2";"2";"5";"4";"4";"2";"3";"15"
;;"10";"de Groot, T.C.";"313";"10";"24";"3";"6";"24";"4";"70";"21";"9";"21";"28";"14";"6";"5";"3";"16";"2";"6";"41"
;;"11";"Synhaeve, M.";"475";"17";"55";"15";"3";"23";"6";"108";"54";"6";"16";"52";"16";"10";"6";"7";"19";"4";"12";"46"
;;"12";"van Ginneken, L.M.";"1036";"28";"120";"37";"13";"39";"39";"220";"146";"35";"24";"107";"24";"6";"29";"24";"39";"8";"16";"82"
;;"13";"Belhaj, S.";"322";"7";"33";"9";"2";"14";"14";"99";"36";"2";"9";"36";"7";"3";"5";"6";"10";"4";"2";"24"
;;"14";"Boulakjar, F.";"46";"1";"4";"2";"0";"1";"3";"9";"4";"2";"1";"7";"4";"1";"1";"0";"2";"0";"0";"4"
;;"15";"Sahla, F.";"115";"6";"7";"6";"0";"8";"1";"23";"12";"2";"8";"13";"3";"0";"2";"0";"10";"1";"7";"6"
;;"16";"Klos, F.C.O.";"92";"3";"4";"1";"5";"2";"5";"8";"5";"0";"3";"38";"4";"0";"1";"1";"1";"0";"4";"7"
;;"17";"Kat, H.";"296";"3";"24";"20";"2";"0";"4";"28";"21";"14";"6";"20";"7";"3";"0";"1";"124";"2";"7";"10"
;;"18";"Warmerdam, S.";"53";"2";"8";"1";"1";"0";"1";"14";"7";"1";"0";"3";"0";"0";"2";"3";"1";"0";"1";"8"
;;"19";"Alberg, S.T.";"70";"5";"6";"0";"1";"0";"2";"14";"17";"3";"2";"2";"2";"0";"2";"0";"5";"2";"3";"4"
;;"20";"Hammelburg, A.R.";"53";"0";"12";"1";"1";"2";"2";"6";"7";"2";"0";"8";"1";"0";"1";"2";"4";"0";"0";"4"
