"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Maastricht"
"Nummer";;"HSB19"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Landgraaf";"Beek";"Beesel";"Bergen (L)";"Brunssum";"Gennep";"Heerlen";"Kerkrade";"Maastricht";"Meerssen";"Mook en Middelaar";"Nederweert";"Roermond";"Simpelveld";"Stein";"Vaals";"Venlo";"Venray";"Voerendaal";"Weert";"Valkenburg aan de Geul";"Horst aan de Maas";"Leudal";"Maasgouw";"Roerdalen";"Echt-Susteren";"Gulpen-Wittem";"Sittard-Geleen";"Peel en Maas";"Eijsden-Margraten";"Beekdaelen"
;;"70";"Gadella, J.A.N.";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"71";"Vermeulen, D.";"9";"0";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"2";"0";"0";"1";"0";"1";"0";"0";"1";"0";"1";"0";"0";"0";"0";"0";"0";"1";"0";"0"
;;"72";"van Noort-Cnossen, M.G.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"73";"Van der Sanden, M.M.E.";"10";"0";"0";"0";"0";"0";"0";"2";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"4";"0";"0"
;;"74";"Rodoe, H.";"176";"0";"0";"1";"14";"0";"112";"0";"0";"0";"0";"17";"0";"1";"0";"1";"0";"7";"9";"0";"0";"0";"4";"2";"0";"0";"3";"0";"2";"3";"0";"0"
;;"75";"Schollink, C.D.";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0"
;;"76";"de Wolff, I.";"7";"0";"0";"0";"0";"0";"1";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"3";"0";"0";"0";"1";"0";"0";"0";"0";"0"
;;"77";"de Boer, Y.";"3";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1";"0";"1"
;;"78";"Yildirim, M.";"9";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0";"0";"0";"1";"0";"0";"0";"1";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"3";"0";"0";"0"
;;"79";"Mulder, H.";"25";"0";"0";"0";"0";"0";"1";"2";"0";"6";"1";"0";"0";"0";"0";"1";"0";"4";"3";"0";"0";"0";"0";"2";"0";"0";"0";"0";"4";"0";"1";"0"
;;"80";"van der Weijden, M.";"177";"3";"0";"4";"2";"0";"1";"6";"2";"23";"4";"4";"3";"14";"2";"6";"1";"13";"10";"4";"8";"0";"10";"9";"5";"1";"4";"0";"18";"9";"3";"8"
