"Verkiezing";;"Tweede Kamer der Staten-Generaal 2023"
"Datum";;"2023-11-22"
"Gebied";;"Kieskring Dordrecht"
"Nummer";;"HSB14"

"Lijstnummer";"Aanduiding";"Volgnummer";"Naam kandidaat";"Totaal";"Alblasserdam";"Barendrecht";"Delft";"Dordrecht";"Gorinchem";"Hardinxveld-Giessendam";"Hendrik-Ido-Ambacht";"Maassluis";"Papendrecht";"Ridderkerk";"Rijswijk";"Schiedam";"Sliedrecht";"Albrandswaard";"Vlaardingen";"Zwijndrecht";"Westland";"Midden-Delfland";"Goeree-Overflakkee";"Nissewaard";"Hoeksche Waard";"Molenlanden";"Voorne aan Zee"
;;"22";"ten Dolle, L.";"94";"1";"4";"21";"1";"3";"0";"3";"4";"1";"2";"7";"5";"1";"1";"8";"4";"10";"3";"2";"2";"4";"2";"5"
;;"23";"Blommers, D.";"50";"0";"0";"17";"3";"2";"2";"2";"1";"1";"0";"2";"5";"0";"1";"2";"0";"6";"1";"1";"1";"0";"1";"2"
;;"24";"van Breugel, C.";"101";"1";"1";"22";"6";"3";"1";"1";"3";"0";"4";"3";"7";"1";"2";"9";"2";"11";"2";"2";"6";"6";"5";"3"
;;"25";"Teunissen, J.C.M.";"18";"0";"1";"3";"3";"0";"0";"0";"0";"0";"0";"1";"1";"0";"0";"0";"2";"1";"0";"1";"0";"1";"1";"3"
;;"26";"Çimen, M.";"30";"0";"0";"6";"1";"1";"0";"1";"0";"3";"1";"3";"6";"0";"1";"1";"0";"2";"0";"0";"2";"2";"0";"0"
;;"27";"Oualhadj, A.";"31";"0";"3";"9";"2";"2";"0";"0";"1";"0";"0";"4";"3";"0";"0";"0";"0";"5";"0";"1";"0";"1";"0";"0"
;;"28";"Putuhena, M.";"4";"0";"0";"1";"0";"0";"0";"0";"0";"1";"0";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
;;"29";"Keij, E.J.";"14";"0";"1";"4";"1";"0";"0";"0";"0";"0";"0";"0";"1";"0";"0";"0";"0";"2";"2";"0";"0";"1";"0";"2"
;;"30";"Brink, V.J.";"54";"1";"3";"15";"3";"0";"0";"0";"2";"0";"2";"3";"4";"0";"2";"1";"0";"5";"1";"3";"5";"1";"0";"3"
;;"31";"van Dorst, P.A.";"88";"1";"5";"6";"13";"1";"0";"3";"6";"1";"9";"0";"9";"0";"2";"6";"3";"1";"0";"1";"5";"8";"2";"6"
